Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
31.13837996,-1.99427259,2.925246954,-0.06408247352,2024-06-04 15:29:51.138380
31.17811396,-1.191112518,0.3499851823,-0.08511485159,2024-06-04 15:29:51.178114
31.21784896,-1.089655399,2.126147032,0.4421388805,2024-06-04 15:29:51.217849
31.25758387,-0.985892415,2.091333389,0.4566244781,2024-06-04 15:29:51.257584
31.29731887,-1.334374309,0.7054679394,-0.05196928233,2024-06-04 15:29:51.297319
31.33705388,-0.9195059538,0.2413292527,-0.1559102833,2024-06-04 15:29:51.337054
31.37678888,-0.9665861726,-0.3657617867,-0.1814167947,2024-06-04 15:29:51.376789
31.41652387,-1.489727378,-0.7168089747,-0.05796898156,2024-06-04 15:29:51.416524
31.45625887,-1.113826036,0.3900626898,0.1337022334,2024-06-04 15:29:51.456259
31.49599387,-0.8821780086,0.5406086445,-0.0363910757,2024-06-04 15:29:51.495994
31.53572888,-1.194407582,-0.07191045582,-0.2173524201,2024-06-04 15:29:51.535729
31.57546388,-1.255899191,0.2841882408,-0.1634369791,2024-06-04 15:29:51.575464
31.61519887,-0.7916079164,0.7641058564,0.1980630606,2024-06-04 15:29:51.615199
31.65493387,0.3162584603,-0.6015698314,-0.00153497979,2024-06-04 15:29:51.654934
31.69466887,1.457289696,-0.08820205182,-0.1682123393,2024-06-04 15:29:51.694669
31.73440388,2.502499819,0.1458767802,-0.09845793247,2024-06-04 15:29:51.734404
31.77413888,3.308440924,-0.5625954866,0.5003963113,2024-06-04 15:29:51.774139
31.81387387,2.188984871,0.06535579264,-0.00248193508,2024-06-04 15:29:51.813874
31.85360887,2.146158218,0.3554832637,0.5941967368,2024-06-04 15:29:51.853609
31.89334387,1.338222623,-1.940030694,0.3347421885,2024-06-04 15:29:51.893344
31.93307888,1.048399091,-2.276159763,0.973231256,2024-06-04 15:29:51.933079
31.97281387,0.3585499525,-2.098099709,1.005371451,2024-06-04 15:29:51.972814
32.01254887,0.1965249032,-1.437953711,0.5359385014,2024-06-04 15:29:52.012549
32.05228387,0.07498241216,-1.677851796,0.1893859953,2024-06-04 15:29:52.052284
32.09201888,-0.1135556772,-1.440784335,0.3897381425,2024-06-04 15:29:52.092019
32.13175388,-0.8133023977,-0.204464674,-0.2453567833,2024-06-04 15:29:52.131754
32.17148887,3.04929924,-1.657431364,-0.9636999965,2024-06-04 15:29:52.171489
32.21122387,-0.2692732215,-0.7192635536,0.6251736879,2024-06-04 15:29:52.211224
32.25095858,-1.867975831,-1.327866673,0.8800010681,2024-06-04 15:29:52.250959
32.29069358,-1.721918941,2.774732351,-0.4418538511,2024-06-04 15:29:52.290694
32.33042858,1.545004368,3.418209791,-0.2447798103,2024-06-04 15:29:52.330429
32.37016358,-1.365535021,-1.51206553,-0.7170176506,2024-06-04 15:29:52.370164
32.40989858,-0.4929620624,1.502368927,-0.08502005786,2024-06-04 15:29:52.409899
32.44963358,-1.289195657,2.636898756,0.0430944711,2024-06-04 15:29:52.449634
32.48936858,-2.338324785,1.768160105,-0.01999985613,2024-06-04 15:29:52.489369
32.52910358,-1.449415445,1.694038987,-0.1156216934,2024-06-04 15:29:52.529104
32.56883858,-1.104325056,1.146130323,0.1197233126,2024-06-04 15:29:52.568839
32.60857358,-0.7919183969,-0.1922122985,-0.2131886929,2024-06-04 15:29:52.608574
32.64830858,-1.227972269,-0.4116765559,-0.4350342453,2024-06-04 15:29:52.648309
32.68804358,-1.444381833,0.7935330272,-0.2560267746,2024-06-04 15:29:52.688044
32.72777858,-0.2284741998,1.259793997,-0.2380029559,2024-06-04 15:29:52.727779
32.76751358,0.4452347159,0.5849990249,-0.00481097959,2024-06-04 15:29:52.767514
32.80724858,-0.0836077705,0.2655228674,0.4394985437,2024-06-04 15:29:52.807249
32.84698358,2.335184813,-0.1532252282,-0.4158790112,2024-06-04 15:29:52.846984
32.88671858,2.903009415,-0.6944309473,-0.0484527573,2024-06-04 15:29:52.886719
32.92645358,2.523202896,0.3158348799,0.0001041470096,2024-06-04 15:29:52.926454
32.96618758,1.493276477,2.600769997,-1.042933822,2024-06-04 15:29:52.966188
33.00592258,1.043669701,-1.75526309,-0.2698783576,2024-06-04 15:29:53.005923
33.04565758,0.5318574905,0.04490542412,-0.2126292437,2024-06-04 15:29:53.045658
33.08539258,0.1100144237,1.047035575,-0.2242011428,2024-06-04 15:29:53.085393
33.12512758,0.08783815801,-0.1150922775,0.02560429461,2024-06-04 15:29:53.125128
33.16486258,-0.4546362758,-0.07961207628,0.2195734233,2024-06-04 15:29:53.164863
33.20459758,-1.25936985,0.6877007484,0.2155100703,2024-06-04 15:29:53.204598
33.24433296,-0.8920894861,0.5120818615,0.4938063025,2024-06-04 15:29:53.244333
33.28406796,1.150434136,-2.073807001,-0.9121473432,2024-06-04 15:29:53.284068
33.32380296,-1.817520499,3.053522825,0.271885097,2024-06-04 15:29:53.323803
33.36353796,-0.5028468966,-2.259731054,-0.6729560494,2024-06-04 15:29:53.363538
33.40327296,2.316211224,1.902203321,-0.7287794352,2024-06-04 15:29:53.403273
33.44300796,-0.3582313955,1.337918878,0.3229670823,2024-06-04 15:29:53.443008
33.48274296,0.04086993262,-1.227336884,-0.752677381,2024-06-04 15:29:53.482743
33.52247796,3.838407278,0.7569406629,-2.228776693,2024-06-04 15:29:53.522478
33.56221296,5.331306934,3.932573795,-2.326759577,2024-06-04 15:29:53.562213
33.60194796,0.1705144048,1.189275742,-2.211564541,2024-06-04 15:29:53.601948
33.64168296,2.733986616,-1.520478129,-1.850867987,2024-06-04 15:29:53.641683
33.68141796,0.467161119,-1.998640776,-3.167481661,2024-06-04 15:29:53.681418
33.72115296,-0.5831719637,-0.7886068821,-0.9007800817,2024-06-04 15:29:53.721153
33.76088796,-1.783149362,0.2535905242,-1.115666032,2024-06-04 15:29:53.760888
33.80062296,-1.974595666,0.2044791132,-1.238835335,2024-06-04 15:29:53.800623
33.84035796,-2.434831619,-0.756547451,-1.036194801,2024-06-04 15:29:53.840358
33.88009296,-1.78749752,0.01214648504,-0.7486327291,2024-06-04 15:29:53.880093
33.91982796,-2.36453104,3.89736557,0.7204550505,2024-06-04 15:29:53.919828
33.95956196,-2.797658443,4.583168507,1.782556415,2024-06-04 15:29:53.959562
33.99929696,-1.142003536,4.650544643,-0.4890882969,2024-06-04 15:29:53.999297
34.03903196,-0.85869807,2.287239313,-1.458767414,2024-06-04 15:29:54.039032
34.07876696,-0.4456258714,0.5662876368,-1.524004459,2024-06-04 15:29:54.078767
34.11850196,-0.6462640166,1.194069386,-0.04341880605,2024-06-04 15:29:54.118502
34.15823696,-1.306427002,0.5776305795,-0.449624747,2024-06-04 15:29:54.158237
34.19797196,-0.9130283594,0.8111410737,-0.7124752402,2024-06-04 15:29:54.197972
34.23770696,-1.315950036,0.616715312,-0.9201087952,2024-06-04 15:29:54.237707
34.27744146,-1.630761981,0.5477056503,-0.5219518542,2024-06-04 15:29:54.277441
34.31717646,-1.127775908,0.5452932119,-1.060911059,2024-06-04 15:29:54.317176
34.35691146,-1.751277447,-0.0158698,-1.117942214,2024-06-04 15:29:54.356911
34.39664646,-1.720133543,-0.6825305223,-0.2503041029,2024-06-04 15:29:54.396646
34.43638146,-0.4609896243,-1.884944439,-1.385232687,2024-06-04 15:29:54.436381
34.47611646,-1.261934876,-1.317655087,0.7529786229,2024-06-04 15:29:54.476116
34.51585146,-0.7618354559,-1.215081453,0.6891258955,2024-06-04 15:29:54.515851
34.55558646,-0.3957468569,-1.607067347,1.627052665,2024-06-04 15:29:54.555586
34.59532146,0.04874854162,-1.33800137,1.436540008,2024-06-04 15:29:54.595321
34.63505646,-0.3886703253,-1.31995368,1.074634194,2024-06-04 15:29:54.635056
34.67479146,-0.7105945349,-0.996301651,1.049579263,2024-06-04 15:29:54.674791
34.71452646,-0.0498367995,-0.7328910232,0.7165563107,2024-06-04 15:29:54.714526
34.75426146,0.4677704871,0.1821132898,0.7702388167,2024-06-04 15:29:54.754261
34.79399646,0.9332791567,0.3887703419,0.444696337,2024-06-04 15:29:54.793996
34.83373146,1.372403502,0.5447046161,0.3095941246,2024-06-04 15:29:54.833731
34.87346646,0.6651059389,0.3036395609,0.5099945068,2024-06-04 15:29:54.873466
34.91320146,0.2224905193,-0.7459381819,0.5432896018,2024-06-04 15:29:54.913201
