"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.553883446E0,1.377153397E-1,1.568980217E-1,-2.250013351E-1
6.594385686E0,-2.540912628E-1,-2.343502045E-1,-7.769346237E-3
6.634873394E0,-2.872214317E-1,-4.087505341E-1,7.116079330E-2
6.675285842E0,1.039218903E-2,1.663851738E-1,-4.529943466E-1
6.715864384E0,-5.416560173E-1,5.140552521E-1,-7.812533379E-1
6.756350738E0,2.318124771E-1,2.672243118E-2,-6.505608559E-2
6.796812092E0,9.065723419E-2,5.520243645E-1,-2.589833736E-1
6.837298394E0,1.350841522E-1,1.288922787E0,3.518829346E-1
6.877784696E0,9.263806343E-1,1.142074108E0,6.910245419E-1
6.918271050E0,-7.498898506E-1,9.106841087E-1,6.340191364E-1
6.958717405E0,-1.540233612E0,4.112601280E-1,-1.885011196E-1
6.999243446E0,-1.226797104E0,-1.909999847E-1,-3.547663689E-1
7.039733342E0,-8.337087631E-1,1.355633736E-1,-6.734609604E-2
7.080194592E0,-3.504743576E-1,2.048878670E-1,-1.764268875E-1
7.120699228E0,-1.582570076E-1,-1.428270340E-2,-1.640360355E-1
7.161183655E0,1.830053329E-2,1.398077011E-1,8.770704269E-3
7.201618603E0,5.167756081E-1,8.010673523E-2,3.065052032E-1
7.242127248E0,4.782209396E-1,2.639484406E-2,2.003324032E-1
7.282613394E0,7.031235695E-1,6.451320648E-2,2.379395962E-1
7.323099540E0,1.445310593E0,-5.330648422E-1,3.465192318E-1
7.363607665E0,5.231199265E-1,-4.778060913E-1,2.358579636E-1
7.404111832E0,8.343749046E-1,-7.084898949E-1,-6.438684464E-2
7.444525530E0,7.153615952E-1,-9.711942673E-1,2.985668182E-2
7.485081050E0,7.896852493E-1,-8.136487007E-1,9.258270264E-3
7.525563290E0,5.350837708E-1,-8.929066658E-1,-2.478885651E-2
7.566050425E0,4.418644905E-1,-6.769223213E-1,-7.824611664E-2
7.606536207E0,3.559198380E-1,-7.204723358E-1,1.027321815E-2
7.647024748E0,-1.243805885E-1,-2.563428879E-1,-3.039550781E-2
7.687485165E0,5.586385727E-2,-6.789207458E-3,-7.186174393E-3
7.727971623E0,3.133621216E-1,4.498481750E-3,1.798748970E-2
7.768458134E0,2.696790695E-1,1.705842018E-1,3.104639053E-2
7.808947300E0,-1.239652634E-1,3.291754723E-1,-2.841472626E-3
7.849459800E0,-1.874871254E-1,2.419662476E-1,-1.060171127E-1
7.889946259E0,-1.392049789E-1,2.386584282E-1,-1.490418911E-1
7.930413811E0,-2.622942924E-1,3.730392456E-2,-1.663303375E-2
7.970900269E0,-2.125673294E-1,1.725912094E-1,-1.120049953E-1
8.011354175E0,-1.615633965E-1,2.265858650E-1,-1.869997978E-1
8.051840686E0,-3.000016212E-1,3.043398857E-1,-2.433228493E-2
8.092327144E0,1.745524406E-1,2.103867531E-1,-7.905864716E-2
8.132805321E0,2.898883820E-1,1.146736145E-1,1.911609173E-1
8.173347561E0,6.158165932E-1,-3.534083366E-1,2.581496239E-1
8.213833134E0,-2.599530220E-1,1.347827911E-1,2.235159874E-1
8.254318707E0,1.111187935E-1,6.167817116E-1,-1.669707298E-1
8.294804280E0,6.191730499E-3,1.914148331E-1,-2.346613407E-1
8.335289853E0,-5.069909096E-1,-2.936549187E-1,-1.120612621E-1
8.375761259E0,-7.309007645E-2,-2.851896286E-1,1.122698784E-1
8.416228967E0,2.917795181E-1,-7.869672775E-2,1.822996140E-2
8.456671571E0,-9.643745422E-2,3.182816505E-1,-9.008407593E-2
8.497235582E0,-2.214899063E-1,2.481498718E-1,-1.332533360E-1
8.537721780E0,-2.133674622E-1,2.282352448E-1,-1.542558670E-1
8.578209332E0,-1.685585976E-1,1.072831154E-1,-6.383061409E-2
8.618693603E0,-4.891109467E-2,8.154010773E-2,-3.454399109E-2
8.659183030E0,-2.031517029E-2,1.852798462E-1,-1.923608780E-2
8.699642196E0,-8.314943314E-2,7.992219925E-2,-6.704449654E-2
8.740132457E0,1.010308266E-1,-1.558060646E-1,1.444160938E-1
8.780618707E0,8.805942535E-2,-2.388205528E-1,4.953598976E-2
8.821092665E0,9.923982620E-2,-1.877827644E-1,2.137351036E-2
8.861584384E0,1.696043015E-1,-1.861515045E-1,2.974243164E-1
8.902015113E0,4.391174316E-1,-6.173706055E-2,3.487296104E-1
8.942545009E0,4.707064629E-1,-1.369924545E-1,3.087792397E-1
8.983065061E0,1.682572365E-1,-1.307854652E-1,1.324319839E-1
9.023491311E0,-1.453881264E-1,-1.765408516E-1,1.351976395E-2
9.064041311E0,-1.983065605E-1,-1.163725853E-1,-3.741884232E-2
9.104460686E0,1.997041702E-2,1.100096703E-1,-7.508277893E-2
9.145017717E0,1.027464867E-1,2.478928566E-1,-7.081317902E-2
9.185498759E0,6.176519394E-2,1.591558456E-1,3.571510315E-2
9.225977300E0,2.284598351E-1,1.740837097E-1,1.289248466E-1
9.266463655E0,2.298822403E-1,4.708242416E-2,1.571540833E-1
9.306950061E0,2.302889824E-1,-1.832385063E-1,2.803101540E-1
9.347436415E0,2.381772995E-1,-2.461228371E-1,2.909140587E-1
9.387922821E0,1.260471344E-1,-6.289482117E-3,1.613368988E-1
9.428357092E0,-5.675411224E-2,-1.532316208E-2,6.632661819E-2
9.468895269E0,-1.220955849E-1,1.632261276E-2,-2.222728729E-2
9.509381675E0,-2.863979340E-2,1.154708862E-2,-7.068109512E-2
9.549868342E0,-6.925678253E-2,3.513240814E-2,-4.602003098E-2
9.590342925E0,-8.412694931E-2,8.555698395E-2,-6.525039673E-2
9.630809175E0,-7.591962814E-2,7.739877701E-2,-4.297494888E-2
9.671299957E0,-2.036952972E-2,5.783987045E-2,-1.559257507E-4
9.711786311E0,-6.241798401E-4,7.010746002E-2,1.719474792E-3
9.752229592E0,-4.638290405E-2,7.153177261E-2,-1.589012146E-2
9.792769800E0,-8.196306229E-2,7.310533524E-2,-3.942394257E-2
9.833271155E0,-9.093618393E-2,5.459070206E-2,-5.688571930E-2
9.873759436E0,-6.646394730E-2,7.573461533E-2,-5.271053314E-2
9.914212509E0,-6.603670120E-2,7.356882095E-2,-5.573272705E-2
9.954691884E0,-8.795928955E-2,5.705595016E-2,-5.126476288E-2
