Time (s),X (rad/s),Y (rad/s),Z (rad/s),Datetime
8.283199458,0.7317563891,1.079421878,-0.3790986836,2024-06-04 16:48:51.283199
8.322941458,0.0380332619,1.538274407,-0.02415534854,2024-06-04 16:48:51.322941
8.362683458,-0.05539337173,0.7971016169,0.1136302799,2024-06-04 16:48:51.362683
8.402426458,0.2910873592,0.414263159,0.3356748819,2024-06-04 16:48:51.402426
8.442168458,0.219434455,0.2052802742,0.2993719876,2024-06-04 16:48:51.442168
8.481911458,0.04420273006,-0.07461562753,0.4193759263,2024-06-04 16:48:51.481911
8.521653458,1.690771461,-0.1168235242,0.3561191559,2024-06-04 16:48:51.521653
8.561395458,1.396532416,-0.4606532454,0.6445614696,2024-06-04 16:48:51.561395
8.601138458,1.26013124,0.2771476209,0.9249438643,2024-06-04 16:48:51.601138
8.640880458,2.065523148,-0.2058859766,0.7686318159,2024-06-04 16:48:51.640880
8.680622458,1.806035399,0.8033403754,0.7929358482,2024-06-04 16:48:51.680622
8.720365458,1.490124941,0.5485457778,0.3467559218,2024-06-04 16:48:51.720365
8.760107458,1.693508983,0.4062295258,0.2912586629,2024-06-04 16:48:51.760107
8.799849458,1.261860847,0.9754862785,0.6099119782,2024-06-04 16:48:51.799849
8.839592458,0.2854837775,0.8349496126,0.5658557415,2024-06-04 16:48:51.839592
8.879334458,-0.2687346935,0.6852733493,0.720651567,2024-06-04 16:48:51.879334
8.919076458,-0.3155560493,0.00207070075,0.3971672058,2024-06-04 16:48:51.919076
8.958819458,-0.5913644433,-0.1625518352,-0.09339788556,2024-06-04 16:48:51.958819
8.998561458,-1.446957469,0.4339713454,-0.552937448,2024-06-04 16:48:51.998561
9.038303458,-2.004477739,0.5952542424,-1.076041102,2024-06-04 16:48:52.038303
9.078046458,-1.775124907,0.4471673965,-1.941690326,2024-06-04 16:48:52.078046
9.117788458,-0.8930808902,-0.1903702766,-2.478604078,2024-06-04 16:48:52.117788
9.157531625,-0.481461376,-0.9245704412,-2.128071547,2024-06-04 16:48:52.157532
9.197274625,-2.140572071,0.1134176254,-1.716469049,2024-06-04 16:48:52.197275
9.237016625,-1.688440084,0.008836322464,-1.163731694,2024-06-04 16:48:52.237017
9.276758625,-0.5787075162,-0.8034193516,-1.603084683,2024-06-04 16:48:52.276759
9.316501625,0.1236196905,-2.261875153,-1.787783861,2024-06-04 16:48:52.316502
9.356243625,-0.406830281,-0.8078784347,0.04992462695,2024-06-04 16:48:52.356244
9.395985625,-2.18305707,-1.42156589,1.548827171,2024-06-04 16:48:52.395986
9.435728625,-0.4878641963,-0.2527409792,1.057786226,2024-06-04 16:48:52.435729
9.475470625,0.03983773664,-0.74405092,-0.1033125669,2024-06-04 16:48:52.475471
9.515212625,0.03225676343,-0.9375960231,0.005541721359,2024-06-04 16:48:52.515213
9.554954625,1.478803754,0.5576251745,-0.1119583324,2024-06-04 16:48:52.554955
9.594697625,1.060248017,0.9852455258,0.1458286792,2024-06-04 16:48:52.594698
9.634439625,0.8982720375,-0.05388522521,0.2691010535,2024-06-04 16:48:52.634440
9.674181625,0.6819181442,0.7137059569,0.5682653785,2024-06-04 16:48:52.674182
9.713924625,0.08120993525,0.8971706629,0.772377193,2024-06-04 16:48:52.713925
9.753666625,0.03324608877,0.6713535786,0.7836894393,2024-06-04 16:48:52.753667
9.793408625,0.9365032911,0.7871394157,0.71892488,2024-06-04 16:48:52.793409
9.833151625,1.369685292,0.3023754954,0.1427824944,2024-06-04 16:48:52.833152
9.872893625,1.25979507,3.256821156,1.17394495,2024-06-04 16:48:52.872894
9.912635625,2.021638632,-0.7886084914,1.05120647,2024-06-04 16:48:52.912636
9.952377625,2.897097349,-0.7858381271,0.7390094399,2024-06-04 16:48:52.952378
9.992120625,2.723078728,-1.439368844,0.5113376975,2024-06-04 16:48:52.992121
10.03186262,2.234808207,-0.7479314804,0.90833354,2024-06-04 16:48:53.031863
10.07160462,1.339724898,0.298263371,0.4230755568,2024-06-04 16:48:53.071605
10.11134662,0.4588189721,0.3162946701,0.7039741874,2024-06-04 16:48:53.111347
10.15108771,-0.5078341961,0.4118354023,1.377545238,2024-06-04 16:48:53.151088
10.19082971,-1.471864939,0.5259184241,1.338564992,2024-06-04 16:48:53.190830
10.23057171,-2.262443542,0.9908009171,1.111167073,2024-06-04 16:48:53.230572
10.27031471,-2.926315784,1.041762829,0.1911296695,2024-06-04 16:48:53.270315
