"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.054360301E2,5.235591465E1,4.957118630E0,1.499123952E2,0.000000000E0,NaN,3.761568451E1,3.976400375E1
1.064381807E2,5.235591444E1,4.957118620E0,1.497932543E2,0.000000000E0,NaN,3.462194443E1,3.719676971E1
1.074380579E2,5.235591441E1,4.957118670E0,1.499856371E2,0.000000000E0,NaN,3.368967056E1,3.545092773E1
1.084359452E2,5.235591451E1,4.957118870E0,1.498228566E2,0.000000000E0,NaN,3.135615730E1,3.346360016E1
1.094378824E2,5.235591443E1,4.957119560E0,1.503644218E2,0.000000000E0,NaN,2.959505653E1,3.135472870E1
1.104374051E2,5.235591445E1,4.957119810E0,1.501923028E2,0.000000000E0,NaN,2.628354645E1,2.783594131E1
1.114369686E2,5.235591448E1,4.957119990E0,1.502153132E2,0.000000000E0,NaN,2.547454071E1,2.630266953E1
1.124362634E2,5.235591448E1,4.957120030E0,1.503489802E2,0.000000000E0,NaN,2.428780174E1,2.530769348E1
1.134364344E2,5.235591422E1,4.957120700E0,1.499851497E2,0.000000000E0,NaN,2.369858932E1,2.435448074E1
1.144365817E2,5.235591509E1,4.957125480E0,1.458289647E2,0.000000000E0,NaN,2.283003044E1,2.365677834E1
1.154367989E2,5.235591510E1,4.957125810E0,1.458783423E2,0.000000000E0,NaN,2.336898994E1,2.344913101E1
1.164364436E2,5.235591524E1,4.957126160E0,1.460234233E2,0.000000000E0,NaN,2.539186668E1,2.390924644E1
1.174372094E2,5.235591525E1,4.957126210E0,1.459551861E2,0.000000000E0,NaN,2.459432411E1,2.309023094E1
1.184364275E2,5.235591525E1,4.957126320E0,1.458232281E2,0.000000000E0,NaN,2.554122162E1,2.251401520E1
1.194366615E2,5.235591525E1,4.957126590E0,1.457144026E2,0.000000000E0,NaN,2.319962502E1,2.215690422E1
1.204367891E2,5.235591511E1,4.957126400E0,1.456985331E2,0.000000000E0,NaN,2.381787300E1,2.260268021E1
1.214364866E2,5.235591502E1,4.957126190E0,1.460405739E2,0.000000000E0,NaN,2.535668373E1,2.483237076E1
1.224386276E2,5.235590830E1,4.957111560E0,1.463508586E2,0.000000000E0,NaN,2.483013725E1,2.638140297E1
1.234359709E2,5.235590839E1,4.957111750E0,1.465285932E2,0.000000000E0,NaN,2.671747017E1,2.841386223E1
