"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.443237689E2,5.193043323E1,4.458536664E0,2.252678168E0,8.519060011E-2,3.453589378E2,4.765636963E0,3.333652857E0
1.453237727E2,5.193043089E1,4.458540201E0,2.410276464E0,2.168813449E-1,3.453589405E2,4.751397530E0,3.353916896E0
1.463237779E2,5.193043556E1,4.458562616E0,3.034268639E0,9.784602599E-1,6.482405588E1,4.753922730E0,3.350336656E0
1.473237547E2,5.193042814E1,4.458582997E0,2.169404025E0,1.065747135E0,9.544924065E1,4.756120710E0,3.347215682E0
1.483237317E2,5.193043001E1,4.458600648E0,2.440866586E0,1.237917473E0,9.429490554E1,4.755995730E0,3.347393262E0
1.493237077E2,5.193042411E1,4.458615274E0,2.460727083E0,1.074803704E0,1.151967702E2,4.751178869E0,3.354226645E0
1.503236854E2,5.193040641E1,4.458631884E0,2.698280286E0,1.610576606E0,1.355715294E2,4.747232294E0,3.359809903E0
1.513236635E2,5.193037437E1,4.458664720E0,2.700221527E0,3.087091356E0,1.388790334E2,4.744436916E0,3.363756142E0
1.523236419E2,5.193035314E1,4.458676016E0,2.258566390E0,2.918863222E0,1.482453300E2,4.744965875E0,3.363009944E0
1.533236190E2,5.193032880E1,4.458692414E0,1.880869939E0,2.903378166E0,1.545173525E2,4.743101112E0,3.365639445E0
1.543235980E2,5.193030300E1,4.458713238E0,1.975125408E0,3.282287692E0,1.571526345E2,4.742834489E0,3.366015157E0
1.553235769E2,5.193027737E1,4.458737071E0,1.682807742E0,3.309076045E0,1.553823327E2,4.740608265E0,3.369149791E0
1.563235561E2,5.193024672E1,4.458768491E0,1.931275395E0,3.776680295E0,1.511815665E2,4.739579018E0,3.370597538E0
1.573235345E2,5.193022433E1,4.458805489E0,1.739066702E0,3.696394089E0,1.378357328E2,4.740061614E0,3.369918832E0
1.583235142E2,5.193021530E1,4.458863037E0,1.444068429E0,3.603514578E0,1.103773578E2,4.739284733E0,3.371011310E0
1.593234941E2,5.193022984E1,4.458908445E0,1.668896306E0,2.963809695E0,7.969139069E1,4.745065909E0,3.362868798E0
1.603234748E2,5.193024508E1,4.458957255E0,1.387011427E0,3.100949116E0,6.761906957E1,4.749099596E0,3.357169948E0
1.613234547E2,5.193025306E1,4.459006567E0,1.783276613E0,3.480168082E0,6.949597921E1,4.762396728E0,3.338280162E0
1.623234341E2,5.193026203E1,4.459054936E0,1.559004317E0,3.534123213E0,6.667941426E1,4.754804069E0,3.349085741E0
1.633234142E2,5.193026423E1,4.459109679E0,1.100136665E0,3.495101910E0,7.219418800E1,4.772726547E0,3.323494899E0
