Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
27.2048862,0.6790521145,-1.054724693,-0.1047405601,2024-06-04 14:52:37.204886
27.24525667,1.274006128,-0.9965362549,-1.25654304,2024-06-04 14:52:37.245257
27.28574537,1.384554386,-0.7605638504,-2.615059853,2024-06-04 14:52:37.285745
27.32626188,0.2020279169,0.7065210342,-4.253888607,2024-06-04 14:52:37.326262
27.36676756,1.626180291,1.376559258,-2.422825813,2024-06-04 14:52:37.366768
27.40726547,2.857125521,0.7094888687,-1.099485874,2024-06-04 14:52:37.407265
27.44775818,2.328836918,0.3467283249,-0.3423085213,2024-06-04 14:52:37.447758
27.4882436,2.463710308,1.097458839,-0.1022925377,2024-06-04 14:52:37.488244
27.52873313,2.069606781,0.8824605942,0.6250023842,2024-06-04 14:52:37.528733
27.56922313,0.6042711735,1.382528305,0.2829303741,2024-06-04 14:52:37.569223
27.60971391,-0.6953005791,1.59062624,0.4324045181,2024-06-04 14:52:37.609714
27.65019131,-1.149401188,0.7539196014,1.033502579,2024-06-04 14:52:37.650191
27.69068698,-2.253124237,-0.01541042328,1.61043191,2024-06-04 14:52:37.690687
27.73117683,-1.438836098,0.1788711548,1.132261872,2024-06-04 14:52:37.731177
27.77167422,-0.09870040417,0.08333015442,2.512381077,2024-06-04 14:52:37.771674
27.81216245,2.569589138,-1.842643738,1.166601419,2024-06-04 14:52:37.812162
27.85262854,2.746192217,-3.938566208,1.143891335,2024-06-04 14:52:37.852629
27.89311995,0.8435907364,3.158874512,-2.257148743,2024-06-04 14:52:37.893120
27.93361917,1.125595093,2.425902367,-2.709324837,2024-06-04 14:52:37.933619
27.97411797,-2.858963966,-2.777975082,0.5143767595,2024-06-04 14:52:37.974118
28.01460917,0.6222310066,-0.1474304199,-2.987688303,2024-06-04 14:52:38.014609
28.05507433,1.632222891,1.443780899,-0.233301878,2024-06-04 14:52:38.055074
28.09557677,-0.07648849487,0.1023235321,-1.009100199,2024-06-04 14:52:38.095577
28.13602646,-1.80161953,-0.4422140121,-1.171172738,2024-06-04 14:52:38.136026
28.17649875,-1.955949545,-0.3766679764,-0.9820661545,2024-06-04 14:52:38.176499
28.2170112,-0.9867829084,-0.07001590729,-1.871389985,2024-06-04 14:52:38.217011
28.25751948,0.9005658627,-1.498430252,-2.450182915,2024-06-04 14:52:38.257519
28.29800693,3.518390656,1.12330246,-3.124624729,2024-06-04 14:52:38.298007
28.33849136,-0.5729286671,0.4356241226,-0.3356457055,2024-06-04 14:52:38.338491
