"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.021245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
7.025245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
7.029245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
7.033245334E1,6.330212116E0,-2.104337883E1,3.432803154E0
7.037245334E1,2.853141785E0,-8.191529274E0,-3.792025566E0
7.041245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.045245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.049245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.053245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.057245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.061245334E1,2.402693033E0,-6.846463680E0,-1.535593987E0
7.065245334E1,-5.862415582E-2,-1.427468300E1,4.541876316E0
7.069245334E1,-5.862415582E-2,-1.427468300E1,4.541876316E0
7.073245334E1,-5.862415582E-2,-1.427468300E1,4.541876316E0
7.077245334E1,7.711170197E0,-1.505205059E1,-1.935494423E0
7.081245334E1,-6.340979785E-2,-9.553344727E0,-4.129712582E0
7.085245334E1,-5.700899959E-1,-7.841578960E0,-3.209971666E0
7.089245334E1,1.127019525E0,-5.849853039E0,-2.700898647E0
7.093245334E1,4.320241451E0,7.151548862E-1,-2.548954248E0
7.097245334E1,4.320241451E0,7.151548862E-1,-2.548954248E0
7.101245334E1,3.388535976E0,-1.552343726E0,1.071984529E0
7.105245334E1,2.117648125E0,-1.538734531E1,1.033549786E1
7.109245334E1,-1.318744421E0,-1.991247177E1,8.319544792E0
7.113245334E1,6.381658077E0,-6.888338327E-1,1.767996788E0
7.117245334E1,5.472385406E0,-2.209981155E1,7.527820110E0
7.121245334E1,5.472385406E0,-2.209981155E1,7.527820110E0
7.125245334E1,5.472385406E0,-2.209981155E1,7.527820110E0
7.129245334E1,5.472385406E0,-2.209981155E1,7.527820110E0
7.133245334E1,5.472385406E0,-2.209981155E1,7.527820110E0
7.133245334E1,-7.525427341E0,-1.907408714E1,-5.412564754E0
7.141245334E1,2.764308453E0,-7.236793041E0,8.862117767E0
7.145245334E1,1.208674550E0,-9.138788223E0,-1.584646821E0
7.149245334E1,1.208674550E0,-9.138788223E0,-1.584646821E0
7.153245334E1,1.208674550E0,-9.138788223E0,-1.584646821E0
7.157245334E1,-2.751147747E0,-1.128873920E1,6.131607890E-1
7.161245334E1,-1.570289850E0,-1.144337559E1,-1.751247048E0
7.165245334E1,1.154536963E0,-1.312373447E1,2.588435888E0
7.169245334E1,-1.567897081E0,-1.559103394E1,3.817150354E0
7.173245334E1,2.151147604E0,-1.339920902E1,4.213760853E0
7.177245334E1,2.151147604E0,-1.339920902E1,4.213760853E0
7.181245334E1,2.151147604E0,-1.339920902E1,4.213760853E0
