"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.361677288E2,5.233742740E1,4.873252140E0,1.724791662E1,1.129999995E0,3.398999939E2,1.181504726E1,8.874291420E0
2.371727920E2,5.233743864E1,4.873247800E0,1.614667264E1,1.120000005E0,3.437000122E2,1.189771175E1,9.169831276E0
2.381686440E2,5.233744992E1,4.873246070E0,1.670906546E1,1.100000024E0,3.503999939E2,1.183954334E1,9.084945679E0
2.391703586E2,5.233746207E1,4.873243990E0,1.737808773E1,1.120000005E0,3.441000061E2,1.154973507E1,8.453752518E0
2.401720606E2,5.233747316E1,4.873238470E0,1.654881552E1,1.139999986E0,3.332999878E2,1.157613182E1,8.543735504E0
2.411684324E2,5.233748674E1,4.873234140E0,1.705017493E1,1.169999957E0,3.560000000E2,1.134731865E1,8.041604042E0
2.421688989E2,5.233750192E1,4.873235450E0,1.665706962E1,1.120000005E0,3.520000000E2,1.124342918E1,7.888382435E0
2.431666368E2,5.233751533E1,4.873232630E0,1.587681345E1,1.190000057E0,3.277999878E2,1.137387371E1,8.168588638E0
2.441688667E2,5.233752910E1,4.873227900E0,1.499078276E1,1.200000048E0,3.491000061E2,1.129619598E1,8.066431999E0
2.451708104E2,5.233754256E1,4.873225560E0,1.364418172E1,1.149999976E0,3.346000061E2,1.141744328E1,8.345536232E0
2.461672089E2,5.233755511E1,4.873216890E0,1.440450937E1,1.110000014E0,3.352000122E2,1.140038490E1,8.584144592E0
2.471686168E2,5.233756578E1,4.873205730E0,1.294321429E1,1.200000048E0,3.101000061E2,1.145656967E1,8.793390274E0
2.481699757E2,5.233757518E1,4.873191510E0,1.274607583E1,1.120000005E0,3.101000061E2,1.152137375E1,9.045667648E0
2.491685565E2,5.233758526E1,4.873180550E0,1.181322241E1,1.210000038E0,3.326000061E2,1.143750381E1,9.142801285E0
2.501680939E2,5.233759457E1,4.873168610E0,1.021978386E1,1.179999948E0,3.116000061E2,1.152400875E1,9.336705208E0
2.511718668E2,5.233760473E1,4.873158890E0,9.062505000E0,1.220000029E0,3.312000122E2,6.712304592E0,9.108633041E0
2.521723771E2,5.233761762E1,4.873156340E0,7.522970909E0,1.200000048E0,3.522000122E2,6.585290909E0,8.832676888E0
2.531702523E2,5.233763019E1,4.873156920E0,6.502847340E0,1.100000024E0,3.542999878E2,6.452077389E0,8.493606567E0
