"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.485832328E2,1.031944513E0,4.306204617E-1,1.672415882E-1
2.486237152E2,2.433524847E0,-3.231650591E-1,2.370143533E-1
2.486641975E2,3.699554205E0,-2.650166512E0,-3.169068322E-2
2.487046799E2,2.327267885E0,-5.864107609E-1,8.336780071E-1
2.487451137E2,6.512568593E-1,1.160438180E0,1.648448110E-1
2.487855895E2,3.515268862E-2,-7.169018388E-1,1.393591046E0
2.488260582E2,-1.361101508E0,-3.889431953E-1,3.114475012E-1
2.488665411E2,-2.609820843E0,1.290263534E0,4.451342523E-1
2.489070209E2,-2.925795555E0,2.838845968E0,-3.517931998E-1
2.489475405E2,-2.376002312E0,3.362541199E0,-9.729571939E-1
2.489880260E2,-1.668554425E0,1.307839870E0,-1.367492914E0
2.490284876E2,-6.419360638E-1,2.838846147E-1,-8.989235163E-1
2.490689725E2,-1.425015450E0,3.651086092E-1,-1.140065670E0
2.491094192E2,-1.860296369E0,8.814803511E-2,-1.001319066E-1
2.491499154E2,-6.954640150E-1,-7.344781756E-1,2.290250957E-1
2.491904318E2,-9.994548559E-1,-1.078015804E0,3.541899845E-2
2.492309411E2,-1.317959547E0,-1.111304402E0,-1.765623689E-1
2.492713847E2,-8.443303108E-1,-1.213034093E-1,4.207670316E-2
2.493118581E2,-9.404675961E-1,5.059856772E-1,1.941387206E-1
2.493522928E2,-1.338997960E0,1.384802938E0,7.296846062E-2
2.493929053E2,-1.116896868E0,1.308638811E0,3.314206302E-1
2.494332936E2,-6.792191863E-1,2.687050402E-1,6.690995097E-1
2.494737764E2,-5.431357026E-1,-6.010577083E-1,2.226337045E-1
2.495142367E2,1.125152349E0,-1.423284531E0,2.151770741E-1
2.495547194E2,1.836062312E0,-2.560553849E-1,3.673722446E-1
2.495952578E2,2.363219500E0,-1.691057347E-2,1.344856620E-1
2.496357405E2,2.234858990E0,3.073197305E-1,1.408770680E-1
2.496762112E2,1.535133958E0,3.201025128E-1,2.412752807E-1
2.497166989E2,1.156576753E0,-2.765611112E-1,-3.934704363E-1
2.497571555E2,1.362965703E0,-6.894720793E-1,-4.592485726E-1
2.497976556E2,4.680367708E-1,-1.953371018E-1,-1.233007237E-1
2.498381735E2,-2.079867423E-1,2.268946320E-1,1.864157850E-3
2.498786667E2,-1.382139921E-1,-1.295589656E-1,-1.656437367E-1
2.499191361E2,-2.183727734E-2,-1.278412819E0,-2.450035959E-1
2.499595957E2,-5.886744261E-1,-4.312862158E-1,1.355509013E-1
2.500000685E2,-1.305443048E0,7.196980715E-1,5.276898146E-1
2.500405660E2,-7.705629468E-1,-4.235632718E-1,5.117112994E-1
2.500810411E2,6.174356937E-1,-7.869408727E-1,-1.467358470E-1
2.501215103E2,-3.456681073E-1,-3.647091687E-1,-2.223673910E-1
2.501620085E2,-1.620885253E0,1.358172148E-1,3.728315700E-3
2.502024939E2,-1.749778390E0,7.457962632E-1,-3.825518191E-1
2.502429721E2,1.594520688E0,6.754909158E-1,-4.390091598E-1
2.502834814E2,1.195724085E-1,9.242228270E-1,-4.597811997E-1
2.503239758E2,-6.555177569E-1,8.840102553E-1,-6.653711796E-1
2.503644275E2,-9.820116758E-1,6.440665126E-1,-4.904066622E-1
2.504048877E2,-1.309703946E0,5.493939519E-1,2.994636297E-1
2.504453751E2,-1.866155148E0,1.219691783E-1,8.424661756E-1
2.504858590E2,-1.209572077E0,2.431394309E-1,3.255618513E-1
2.505263428E2,5.812177658E-1,3.359079123E0,3.687037826E-1
2.505668569E2,4.605801404E-1,3.744294167E0,5.921363831E-1
2.506073408E2,-5.644403696E-1,1.459635496E0,-1.912093312E-1
2.506478152E2,-1.254045606E0,-6.966624260E-1,-4.973306656E-1
2.506882860E2,-1.230077863E0,-3.404751122E-1,-4.531235099E-1
2.507287704E2,3.673722446E-1,8.091776371E-1,1.491326280E-2
2.507692584E2,5.628424883E-1,5.728290677E-1,1.997311972E-2
2.508097259E2,4.260931909E-2,6.135742068E-1,3.870790601E-1
2.508501805E2,5.420704484E-1,1.172688365E0,4.525908828E-1
2.508907028E2,3.060813904E0,-3.170399666E-1,6.904041767E-1
2.509311774E2,3.065607548E0,1.331541240E-1,-1.941387206E-1
2.509716725E2,2.824065924E0,2.933119059E0,-8.427324891E-1
2.510121663E2,2.048576355E0,2.949097633E0,1.802906841E-1
2.510526543E2,1.373618007E0,-6.093133092E-1,3.189041317E-1
2.510931415E2,7.513887286E-1,2.050573528E-1,8.844097257E-1
2.511336311E2,9.267527610E-2,-1.691057347E-2,6.525883675E-1
2.511741088E2,9.472584724E-1,-4.528571963E-1,3.648423031E-2
2.512145838E2,1.580406308E0,-2.175738335E0,-3.969324529E-1
2.512550667E2,2.312887162E-1,-2.227668613E-1,-4.752270877E-1
2.512955496E2,-9.655005932E-1,-4.722976983E-1,-4.081174135E-1
2.513360053E2,-1.630472302E0,-1.314231306E-1,-2.663082480E-1
2.513764882E2,-1.017830133E0,8.403357267E-1,1.097988963E0
2.514169890E2,-9.954602718E-1,5.603125691E-1,5.351464152E-1
2.514574913E2,-1.228213668E0,-9.840090275E-1,1.235670298E-1
2.514979687E2,-9.226249456E-1,-1.605705619E0,-1.270290315E-1
2.515384553E2,-1.362965703E0,-1.817820191E0,-4.287562892E-2
2.515789408E2,-1.777474403E0,-1.121956706E0,-1.794917583E-1
2.516194286E2,-1.602509975E0,3.139774203E-1,6.977276504E-2
2.516598458E2,-1.222088575E0,1.834597588E0,1.408770680E-1
2.517003402E2,-1.405841231E0,1.738193989E0,-2.268946320E-1
2.517408381E2,-1.531805038E0,5.438014865E-1,-5.729622245E-1
2.517813164E2,-5.489944816E-1,-4.734161854E0,-6.669690013E-1
2.518218082E2,-2.636451647E-2,-1.168826938E0,-9.002550840E-1
2.518622395E2,-3.841496706E-1,2.666012049E0,3.029256463E-1
2.519027983E2,1.438064594E-2,3.013810635E0,2.007964253E-1
2.519432831E2,2.411421239E-1,1.555506468E0,3.612471521E-1
2.519837651E2,8.184984326E-1,-5.489944816E-1,4.190360308E-1
2.520242432E2,8.817466497E-1,-1.889457107E0,2.234326303E-1
2.520647205E2,5.752258375E-2,-1.752175212E0,-2.705691755E-1
2.521052028E2,-6.874747872E-1,5.645735264E-1,-5.601794124E-1
2.521456850E2,8.977251053E-1,1.618887901E0,-2.524602413E-1
2.521861204E2,8.716269135E-1,-1.806102633E0,-1.254311949E-1
2.522266268E2,7.830794454E-1,-3.267868519E0,-2.623136342E-1
2.522671320E2,5.330159664E-1,-2.260424376E0,-3.350157738E-1
2.523076252E2,2.581858635E-1,-5.729622245E-1,-4.621779919E-1
2.523481115E2,6.352783442E-1,3.302222490E-1,-4.304873049E-1
2.523885545E2,1.008243084E0,-1.404775977E-1,-3.517931998E-1
2.524290569E2,7.774869800E-1,7.110430300E-2,4.979964346E-2
2.524695310E2,1.555107117E0,-5.585815907E-1,-9.054480493E-2
2.525100007E2,1.263100028E0,-1.186403260E-1,-3.371462524E-1
2.525504892E2,1.549914032E-1,9.503210187E-1,2.507292330E-1
2.525910026E2,1.957365721E-1,-1.377479434E0,4.994611442E-1
2.526314976E2,5.858781748E-3,-1.478143930E0,2.563216984E-1
2.526719507E2,-8.749557734E-1,-3.782908916E-1,1.565892547E-1
2.527124527E2,-6.698983908E-1,-8.191642165E-1,1.384802908E-2
2.527529410E2,5.591141582E-1,-4.238295853E-1,-1.129413366E0
2.527934101E2,2.339518070E-1,3.802881837E-1,-7.708292603E-1
2.528338456E2,-6.238270998E-1,-2.596505545E-2,7.322145700E-1
2.528743070E2,-4.880098701E-1,-1.006112576E0,6.576482654E-1
2.529148046E2,-5.473966002E-1,-3.077192008E-1,3.149095178E-1
2.529553150E2,3.367467821E-1,3.603150845E-1,-0.000000000E0
2.529957951E2,-4.607132822E-2,-1.537796974E0,-5.122439265E-1
2.530362743E2,-9.106410742E-1,-7.403369546E-1,-1.193061024E-1
2.530767762E2,-6.737598777E-2,6.901378632E-1,3.994623944E-2
2.531172678E2,-1.693720520E-1,8.947957307E-2,-2.103835158E-2
2.531577547E2,-5.114449859E-1,-3.159747422E-1,-1.166430190E-1
2.531982485E2,-4.248948097E-1,-3.741630912E-2,-1.259638071E-1
2.532387355E2,-4.967980385E-1,5.752258301E-1,6.311506033E-2
