"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.004763969E1,2.572844028E-1,-3.628073692E0,-1.532692313E0
1.008818099E1,-8.845205307E0,-4.368629456E0,2.092060089E0
1.012871651E1,-2.361666441E0,5.533266068E-1,-2.147711515E0
1.016913016E1,2.368020296E0,1.377857208E0,2.606558800E0
1.020964885E1,1.081204891E0,1.018669128E0,4.123126030E0
1.025013552E1,3.691701889E-1,6.089563370E-1,-4.929796457E-1
1.029065229E1,1.885144949E0,-4.740171432E-1,2.267365217E0
1.033115068E1,-1.549385309E0,-1.484619141E0,2.595792055E0
1.037161677E1,-4.109545708E0,-2.610587120E0,9.232064486E-1
1.041211245E1,-1.660049915E0,-1.943558693E0,2.863198519E0
1.045261969E1,-2.674906254E-1,-3.104652405E0,5.773931980E0
1.049310583E1,-2.652088642E0,-3.879508972E0,2.595307827E0
1.053360729E1,-2.843136311E0,-3.381768227E0,-2.887208223E0
1.057409990E1,1.045574665E0,-2.352717400E0,-2.555407286E0
1.061461422E1,6.958171844E0,-3.393964767E0,-5.678082466E0
1.065509292E1,5.419754982E0,3.732967377E-2,-4.644906521E-1
1.069556932E1,-1.463522196E0,1.111036301E0,-4.884725571E0
1.073604016E1,-2.169230938E0,3.375948906E0,-3.909746408E0
1.077656500E1,1.521605611E0,6.737607956E0,-5.737206459E0
1.081705026E1,1.539147139E0,6.786901474E0,-3.765708447E0
1.085753464E1,1.771504641E0,1.779805183E0,1.017437458E0
1.089803442E1,-2.516173363E0,-7.120376587E0,7.534342766E0
1.093851703E1,-1.406349182E0,-2.578798294E0,3.799556494E0
1.097901859E1,-3.839328289E-1,1.602102757E0,2.700269222E-1
1.101948135E1,4.839981556E0,-2.222952843E0,-6.009355545E0
1.105997771E1,4.209919930E0,-4.009752274E0,2.670784950E0
1.110047755E1,1.326633453E0,4.705553055E0,-8.107301712E0
1.114098755E1,7.501888275E-2,2.820758820E-1,-6.586105347E0
1.118149270E1,-3.740852356E0,-5.051095009E0,2.303930521E0
1.122196307E1,7.916128635E-1,-2.330427170E-1,-1.028540373E0
1.126244713E1,2.583520889E0,1.953930855E0,4.602066576E-1
1.130294635E1,1.161551476E0,1.824384689E0,1.687670588E0
1.134345640E1,-1.028995275E0,6.633749008E-1,-3.378261328E-1
1.138394974E1,-7.870993614E-1,3.083133698E-2,-3.340848088E-1
1.142444182E1,-9.079971313E-1,-7.468433380E-1,1.800303221E0
1.146492927E1,-1.517158389E0,-6.507186890E-1,2.708201885E0
1.150540927E1,-4.371292591E-1,-6.984481812E-1,1.343849897E0
1.154589750E1,1.065382957E-1,-8.033208847E-1,1.600814819E0
1.158639396E1,1.009661674E0,-1.548016548E0,2.270734787E0
1.162689500E1,5.004639626E-1,-3.153688431E0,4.897182941E0
1.166739166E1,2.137506485E0,-9.113941193E-1,8.126652241E-2
1.170788651E1,1.938667774E0,1.235383034E0,-3.987888336E0
1.174835458E1,2.777724266E-1,6.991701126E-1,-5.065670013E0
1.178883354E1,-3.264171600E0,-1.895899773E0,-3.749548912E0
1.182934354E1,1.013936996E-1,-5.051841736E-1,-1.808536291E0
1.186985406E1,2.117223501E0,8.720455170E-1,-3.251572371E0
1.191038505E1,2.420861721E-1,1.222124100E0,-1.824125409E0
1.195083640E1,2.452254295E-2,1.925805092E0,-2.211376190E0
1.199134020E1,1.158227921E-1,1.192565918E0,-3.035833836E0
1.203184062E1,1.846590042E0,-2.409032822E0,1.676023960E0
1.207233823E1,4.250533581E0,-1.604166985E0,7.299288750E0
1.211281281E1,1.952009678E0,1.095211983E0,-6.901178956E-1
1.215328614E1,2.416181564E-2,2.019552231E0,-2.854957104E0
1.219380125E1,-2.802819252E0,-5.856895447E-2,-2.244866848E0
1.223429463E1,6.316423416E-2,-6.800003052E-1,3.645710468E0
1.227476625E1,9.364643097E-1,2.139177322E-1,-4.945238233E-1
1.231528890E1,3.235642910E-1,-4.599571228E-3,-9.085100293E-1
1.235577666E1,5.688011646E-1,-7.358169556E-2,2.628825903E0
1.239630099E1,-3.696379662E-1,-2.741498947E-1,4.035749137E-1
1.243674244E1,3.706269264E-1,1.252555847E-1,-3.624347448E-1
1.247725781E1,-7.996559143E-4,-2.056159973E-1,5.936201811E-1
1.251772968E1,-2.999415398E-1,-1.580238342E-2,-6.184375286E-2
1.255821297E1,-6.157274246E-1,-4.392766953E-1,4.271669090E-1
1.259868234E1,-4.439997673E-2,-1.637630463E-1,7.542955279E-1
1.263924791E1,1.483016014E-1,-1.306629181E-1,1.048251867E0
1.267971093E1,1.026870728E0,-1.421546936E-2,1.721364379E0
1.272017635E1,1.215523481E0,-4.757900238E-1,2.688628674E0
1.276072515E1,1.118226290E0,-1.395806313E0,3.344112635E0
1.280118396E1,2.248821259E-1,-4.981842041E-1,5.178303719E-1
1.284167562E1,2.780890942E0,-1.180440903E0,-1.336910486E0
1.288215390E1,2.359930992E0,1.757642269E0,-5.149117470E0
1.292263739E1,-2.532441616E-1,2.769775391E-1,-3.052029133E0
1.296317692E1,-1.433745384E0,6.832790375E-1,-2.279324293E0
1.300366187E1,-7.785861492E-1,2.543453217E0,-2.410225868E0
1.304415026E1,-6.711926460E-1,1.531953335E0,-2.717020512E-1
1.308461755E1,-1.607310772E-1,1.773154736E0,1.578050137E0
1.312511312E1,-1.505035996E0,-2.695608139E-1,3.640691757E0
1.316564463E1,-5.452013969E0,-3.312609673E0,6.899792671E0
1.320609026E1,-4.356465340E-1,-1.880617142E0,1.705152273E0
1.324661364E1,3.143947601E0,-3.545911789E0,-3.955401182E-1
1.328709661E1,4.814612865E-1,1.417587280E0,-8.820527196E-1
1.332756323E1,-1.076133013E0,2.528214455E0,-1.380949736E0
1.336806015E1,9.994237423E-1,1.364480019E0,-4.029796720E-1
1.340861713E1,3.970368624E0,1.012508392E0,1.988962293E0
1.344901187E1,-1.802310944E-1,-4.995403290E-1,3.436661661E-1
1.348959500E1,-7.210469246E-1,-1.117737770E0,-6.059883237E-1
1.353006135E1,-3.189296722E-1,-5.461015701E-1,-5.848487616E-1
1.357052953E1,3.228559494E-1,5.519275665E-1,-1.010920405E0
1.361102739E1,-1.909773350E-1,2.789506912E-1,-9.719936252E-1
1.365151146E1,-7.053210735E-1,-2.711391449E-1,1.557919085E-1
1.369202239E1,-4.852850437E-1,4.703226089E-1,-1.336042643E0
1.373252067E1,-2.212381363E-2,1.458539963E-1,6.313345432E-1
1.377300604E1,6.916582584E-1,1.213073730E-3,2.641070366E0
1.381351067E1,-7.074158192E-1,-5.852575302E-1,1.928394079E0
1.385398698E1,-2.106110573E0,-8.900756836E-1,2.028173447E0
1.389448515E1,-6.044595242E-1,-5.479240417E-1,2.409842491E0
1.393497140E1,7.421994209E-2,4.007759094E-1,6.087614894E-1
1.397544505E1,-1.062659740E0,-2.625278473E0,5.105637312E-1
1.401594093E1,-6.180620193E-1,-3.964258194E0,-1.215912580E0
1.405644494E1,2.530077696E0,-8.178167343E-1,3.827746868E0
1.409692739E1,1.093434095E0,1.833839417E-1,5.443778038E0
1.413741521E1,-1.582251072E0,1.732953072E0,9.647420645E-1
1.417791849E1,-6.695551872E-1,-1.625413895E-1,-1.394125462E0
1.421844239E1,9.867355824E-1,-2.267129898E0,-5.438619614E0
1.425893468E1,1.020890713E0,-1.758790970E0,-3.881016016E0
1.429938640E1,-5.083482265E-1,-1.131988525E0,-1.939530134E0
1.433989255E1,-8.649022579E-1,4.154081345E-1,-2.101728916E0
1.438037515E1,2.342579365E-1,1.868499756E0,-2.710270166E0
1.442086994E1,1.218464375E0,2.890654564E0,-2.278855801E0
1.446142151E1,9.468026161E-1,2.490543842E0,-6.923388243E-1
1.450189614E1,8.366177082E-1,1.059722900E-2,1.479383707E0
1.454236593E1,5.788664818E-1,-8.452510834E-1,2.229309320E0
1.458285244E1,-2.436635494E-1,-5.462341309E-1,2.672029734E0
1.462333640E1,-2.483637333E0,-2.426055908E0,3.085515738E0
1.466382432E1,-2.762154102E0,8.826875687E-1,1.463859081E-1
1.470433021E1,-1.789515018E0,2.895709991E0,-1.812025785E0
1.474483015E1,1.063685417E-1,1.193459511E0,-1.400902748E0
1.478534260E1,4.282957077E0,-6.471748352E0,1.362541914E-1
1.482583760E1,1.240334034E0,-8.926458359E-1,3.351294518E0
1.486629604E1,2.521094322E0,5.494739532E0,-2.443940639E0
1.490677109E1,-3.418116570E-1,-1.218137741E-1,-3.127314806E0
1.494728588E1,-2.044229984E0,-1.661588669E0,2.509082317E0
1.498777682E1,-1.660072565E0,-6.901168823E-2,-2.921619892E0
1.502826312E1,7.904224396E-1,5.264978409E-1,-2.090874910E0
1.506874609E1,1.039854050E0,-2.813043594E-1,8.111208677E-2
1.510922698E1,-5.068869591E-1,-2.945718765E-1,-9.110411406E-1
1.514978333E1,-2.893638611E-1,-1.989679337E-1,-6.908599138E-1
