Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Datetime
204.1196802,52.33487075,4.86756717,1.489170819,1.159999967,103.5999985,3.790092468,3.314433813,2024-06-05 16:43:49.119680
205.1189566,52.33486995,4.86758348,1.980939282,1.220000029,102.6999969,3.790092468,3.270198107,2024-06-05 16:43:50.118957
206.1166107,52.33486747,4.86759878,2.253649627,1.269999981,116.9000015,3.790092468,3.196709156,2024-06-05 16:43:51.116611
207.119076,52.33486988,4.86761807,2.259645503,1.379999995,90.69999695,3.790092468,3.145413876,2024-06-05 16:43:52.119076
208.1203702,52.33487265,4.86763565,2.235550575,1.24000001,91.5,3.790092468,3.078598022,2024-06-05 16:43:53.120370
209.1182093,52.33487719,4.86765825,2.756871166,1.25999999,85.0,3.790092468,3.43689537,2024-06-05 16:43:54.118209
210.1202047,52.33487366,4.86767873,2.424663565,1.429999948,112.8000031,3.790092468,3.408971548,2024-06-05 16:43:55.120205
211.1175787,52.33487664,4.86770251,3.371946993,1.330000043,93.80000305,3.790092468,3.397395372,2024-06-05 16:43:56.117579
212.1208943,52.33488,4.86772352,3.023941284,1.25,91.90000153,3.790092468,3.407809258,2024-06-05 16:43:57.120894
213.1201482,52.33488411,4.86774266,3.8926714,1.25,86.69999695,3.790092468,3.520036221,2024-06-05 16:43:58.120148
214.117266,52.33488531,4.86776014,3.558088365,1.190000057,92.69999695,3.790092468,3.267828941,2024-06-05 16:43:59.117266
215.1143249,52.33488812,4.86777678,3.438961218,1.24000001,75.5,3.790092468,3.135234594,2024-06-05 16:44:00.114325
216.116253,52.33489091,4.86779361,2.877695478,1.210000038,77.09999847,3.790092468,3.046068668,2024-06-05 16:44:01.116253
217.1183416,52.33489273,4.86781005,3.254233327,1.210000038,83.69999695,3.790092468,2.980722427,2024-06-05 16:44:02.118342
218.1211637,52.33489106,4.86782688,2.716154672,1.269999981,101.0999985,3.790092468,2.939528942,2024-06-05 16:44:03.121164
219.1188382,52.33489088,4.86784405,2.561806335,1.210000038,92.69999695,3.790092468,2.9191432,2024-06-05 16:44:04.118838
220.1212522,52.33489458,4.86786179,2.242851968,1.269999981,73.40000153,3.790092468,2.788367987,2024-06-05 16:44:05.121252
221.1167798,52.33489715,4.8678803,2.333076138,1.210000038,78.5,3.790092468,2.663645506,2024-06-05 16:44:06.116780
222.1179975,52.33489525,4.86790261,1.929033499,1.210000038,88.40000153,3.790092468,2.87869215,2024-06-05 16:44:07.117998
223.1179187,52.33489737,4.86792309,2.992097519,1.25,76.09999847,3.790092468,2.666492462,2024-06-05 16:44:08.117919
224.1154384,52.33489773,4.86794581,3.509139838,1.25,87.90000153,3.790092468,2.642627001,2024-06-05 16:44:09.115438
225.1129219,52.33489862,4.86796729,3.439329165,1.269999981,94.19999695,3.790092468,2.692400455,2024-06-05 16:44:10.112922
226.1160435,52.33490124,4.86798424,2.856151634,1.200000048,78.5,3.790092468,2.701119423,2024-06-05 16:44:11.116043
227.115355,52.33490188,4.86800377,2.494957657,1.269999981,85.5,3.790092468,2.766390324,2024-06-05 16:44:12.115355
228.1159722,52.33490419,4.86803084,2.710430502,1.279999971,72.30000305,3.790092468,3.043818712,2024-06-05 16:44:13.115972
229.1200468,52.33490473,4.86805272,2.479242612,1.230000019,77.90000153,3.790092468,2.936808348,2024-06-05 16:44:14.120047
230.1189349,52.33490338,4.86807404,1.131291489,1.25,87.5,3.790092468,2.848860979,2024-06-05 16:44:15.118935
231.1170387,52.3349016,4.86809463,0.7121113149,1.25,88.19999695,3.790092468,2.711612701,2024-06-05 16:44:16.117039
232.1210024,52.33490205,4.8681199,1.350859321,1.25,86.5,3.790092468,2.799100876,2024-06-05 16:44:17.121002
233.1168418,52.33490075,4.8681442,0.4416306763,1.330000043,94.0,3.790092468,2.905393839,2024-06-05 16:44:18.116842
234.1195411,52.33490056,4.86816672,-0.2722238899,1.299999952,84.59999847,3.790092468,3.043446779,2024-06-05 16:44:19.119541
235.1176558,52.33490493,4.86818718,-0.01305075774,1.399999976,63.40000153,3.790092468,3.154728413,2024-06-05 16:44:20.117656
236.1162441,52.33490553,4.86821206,-0.4100693655,1.539999962,85.90000153,3.790092468,2.951394796,2024-06-05 16:44:21.116244
237.1184308,52.33490446,4.86823818,-0.2892063128,1.710000038,96.30000305,3.790092468,3.038732052,2024-06-05 16:44:22.118431
238.1260769,52.33490483,4.86826866,0.09038928892,2.00999999,92.90000153,3.790092468,2.795878649,2024-06-05 16:44:23.126077
239.1170099,52.33490692,4.86830059,0.8206961486,1.99000001,91.0,3.790092468,2.534865379,2024-06-05 16:44:24.117010
240.1207701,52.33490472,4.86832789,0.4588312358,2.069999933,96.30000305,3.790092468,2.5,2024-06-05 16:44:25.120770
241.1174863,52.33490382,4.86835773,1.002731325,2.140000105,91.40000153,3.790092468,2.5,2024-06-05 16:44:26.117486
242.1180074,52.33490067,4.86838432,1.843318282,2.069999933,100.0999985,3.790092468,2.5,2024-06-05 16:44:27.118007
243.1188356,52.33489764,4.86840584,1.428226237,1.830000043,97.80000305,3.790092468,2.5,2024-06-05 16:44:28.118836
244.1203531,52.33488817,4.86843026,1.879154622,1.860000014,116.6999969,3.790092468,2.5,2024-06-05 16:44:29.120353
245.1236395,52.33488215,4.8684495,2.293768978,1.50999999,115.5999985,3.790092468,2.5,2024-06-05 16:44:30.123639
246.1190447,52.33487658,4.86846517,2.083137784,1.330000043,115.8000031,3.790092468,2.5,2024-06-05 16:44:31.119045
247.1213104,52.33487453,4.86848409,2.327103247,1.25999999,105.8000031,3.790092468,2.593218088,2024-06-05 16:44:32.121310
248.1187614,52.33487566,4.86850508,2.788542632,1.279999971,94.19999695,3.790092468,3.017781973,2024-06-05 16:44:33.118761
249.1192677,52.33487937,4.86852604,2.648850375,1.289999962,85.0,3.790092468,3.344026804,2024-06-05 16:44:34.119268
250.1180332,52.33487888,4.86854897,2.083921403,1.379999995,94.59999847,3.790092468,3.500977755,2024-06-05 16:44:35.118033
251.1193116,52.33487629,4.86857521,1.938363928,1.309999943,87.90000153,3.790092468,3.522371292,2024-06-05 16:44:36.119312
252.1194694,52.33487309,4.86860144,2.061360277,1.309999943,97.19999695,3.790092468,3.428643942,2024-06-05 16:44:37.119469
253.1214901,52.33487086,4.86862802,2.355561804,1.350000024,93.5,3.790092468,3.311444759,2024-06-05 16:44:38.121490
254.118924,52.33487031,4.86865762,2.10924008,1.779999971,94.0,3.790092468,3.3571527,2024-06-05 16:44:39.118924
255.1192136,52.33487259,4.86869022,2.524606184,2.069999933,83.0,3.790092468,3.224829197,2024-06-05 16:44:40.119214
256.1171432,52.33487218,4.8687145,2.98268835,1.620000005,90.0,3.790092468,3.074437141,2024-06-05 16:44:41.117143
257.121254,52.33486894,4.86873941,3.00332793,1.580000043,96.0,3.790092468,2.963953257,2024-06-05 16:44:42.121254
258.1191781,52.33486876,4.86875724,2.517375967,1.269999981,89.80000305,3.790092468,2.959984541,2024-06-05 16:44:43.119178
259.1221616,52.3348681,4.86877494,3.680715246,1.299999952,89.30000305,3.790092468,3.16018486,2024-06-05 16:44:44.122162
260.1179666,52.33486489,4.86879176,3.194758441,1.340000033,95.69999695,3.790092468,3.156296015,2024-06-05 16:44:45.117967
261.1174921,52.33486545,4.868811,3.470649147,1.360000014,82.59999847,3.790092468,3.014935493,2024-06-05 16:44:46.117492
262.1171342,52.33486671,4.86883512,5.052818045,1.340000033,86.5,3.790092468,2.713444233,2024-06-05 16:44:47.117134
263.1192217,52.33486842,4.86886031,6.171609282,1.320000052,81.59999847,3.790092468,2.954045296,2024-06-05 16:44:48.119222
264.1181586,52.3348686,4.86888603,6.410576892,1.419999957,88.0,3.790092468,3.018594265,2024-06-05 16:44:49.118159
265.1186579,52.33487042,4.86891106,6.384714872,1.330000043,79.40000153,3.790092468,3.028996706,2024-06-05 16:44:50.118658
