"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.726494438E0,-2.263620263E-3,-9.587096982E-3,-7.722939365E-3
9.766980584E0,-1.344856713E-2,-1.331541315E-2,-1.784265228E-2
9.807475375E0,-1.717688330E-2,-6.924014539E-3,-2.263620123E-2
9.847982407E0,-1.344856713E-2,-6.924014539E-3,-2.023942769E-2
9.888478969E0,-4.660394508E-3,-8.521864191E-3,-1.011971384E-2
9.928968136E0,5.193010904E-3,1.331541222E-3,6.391398143E-3
9.969457303E0,5.193010904E-3,5.059856921E-3,6.924014539E-3
1.000994647E1,3.861469682E-3,5.326164886E-3,2.663082443E-3
1.005042360E1,1.158440951E-2,6.924014539E-3,3.462007269E-3
1.009090678E1,1.824211515E-2,1.331541315E-2,7.456631400E-3
1.013139595E1,2.010627277E-2,0.000000000E0,-1.065233024E-3
1.017194548E1,7.856093347E-3,1.065233024E-3,-9.587096982E-3
1.021239381E1,-8.655018173E-3,-5.592473317E-3,-4.793548491E-3
1.025289371E1,-5.725627299E-3,5.326165119E-4,5.858781748E-3
1.029338491E1,-3.328853287E-3,1.597849536E-3,1.438064594E-2
1.033387189E1,-3.994623839E-4,-7.989247679E-4,6.391398143E-3
1.037435303E1,3.062544856E-3,-1.331541222E-3,-7.722939365E-3
1.041483105E1,9.320789250E-4,5.326165119E-4,-8.788172156E-3
1.045532006E1,-2.263620263E-3,2.396774245E-3,1.331541222E-3
1.049580913E1,-4.127778113E-3,7.989247679E-4,6.125089712E-3
1.053629819E1,-5.459319334E-3,-4.793548491E-3,5.326165119E-4
1.057675100E1,1.198387123E-3,-7.722939365E-3,-3.462007269E-3
1.061722355E1,-1.198387123E-3,-5.326164886E-3,1.331541222E-3
1.065776751E1,-1.464695437E-3,4.793548491E-3,2.130466048E-3
1.069825652E1,-2.796236658E-3,2.929390874E-3,3.195699072E-3
1.073875574E1,6.657706108E-4,2.663082443E-3,-5.326165119E-4
1.077922996E1,6.657706108E-4,5.326164886E-3,-5.326165119E-4
1.081972944E1,1.198387123E-3,3.195699072E-3,2.396774245E-3
1.086022006E1,-2.263620263E-3,0.000000000E0,2.396774245E-3
1.090068366E1,-3.328853287E-3,-2.396774245E-3,3.462007269E-3
1.094122345E1,-2.796236658E-3,-1.864157850E-3,2.396774245E-3
1.098171293E1,-1.198387123E-3,-3.462007269E-3,-2.663082560E-4
1.102213564E1,1.331541280E-4,-2.130466048E-3,-2.929390874E-3
1.106262407E1,-3.994623839E-4,-1.864157850E-3,-3.462007269E-3
1.110311355E1,6.657706108E-4,7.989247679E-4,-1.331541222E-3
1.114362090E1,3.994623839E-4,-5.326165119E-4,-7.989247679E-4
1.118412709E1,-6.657706108E-4,2.663082443E-3,-2.130466048E-3
1.122463142E1,1.331541280E-4,-7.989247679E-4,-1.864157850E-3
1.126512199E1,3.595161485E-3,-4.527240526E-3,-3.728315700E-3
1.130561131E1,-3.994623839E-4,-1.065233024E-3,-5.326165119E-4
1.134607803E1,-3.328853287E-3,4.260932095E-3,0.000000000E0
1.138653522E1,-3.595161485E-3,1.597849536E-3,2.396774245E-3
1.142701360E1,1.464695437E-3,2.929390874E-3,-1.065233024E-3
1.146750142E1,2.263620263E-3,5.858781748E-3,-1.065233024E-3
1.150799376E1,1.731003635E-3,3.195699072E-3,7.989247679E-4
1.154849595E1,-9.320789250E-4,-5.326165119E-4,2.396774245E-3
1.158899860E1,-1.464695437E-3,-3.728315700E-3,1.864157850E-3
1.162948053E1,-2.796236658E-3,-4.527240526E-3,-2.663082560E-4
1.166996194E1,-2.796236658E-3,-5.059856921E-3,-2.396774245E-3
1.171048267E1,-1.331541280E-4,-4.527240526E-3,-2.130466048E-3
1.175094720E1,3.994623839E-4,-2.396774245E-3,-1.597849536E-3
1.179143621E1,3.994623839E-4,1.331541222E-3,-2.929390874E-3
1.183197251E1,1.198387123E-3,0.000000000E0,-1.065233024E-3
1.187246152E1,-3.994623839E-4,2.396774245E-3,-1.597849536E-3
1.191295121E1,1.331541280E-4,2.663082443E-3,-1.065233024E-3
1.195342772E1,1.997311832E-3,-2.929390874E-3,-2.663082560E-4
1.199391683E1,-6.258244161E-3,-8.521864191E-3,7.456631400E-3
1.203440590E1,-6.258244161E-3,-7.456631400E-3,6.391398143E-3
1.207485694E1,9.320789250E-4,5.059856921E-3,-6.657706574E-3
1.211534600E1,1.185071748E-2,-7.456631400E-3,-1.038602181E-2
1.215585314E1,3.595161485E-3,-9.320789017E-3,1.331541222E-3
1.219635678E1,-1.051917579E-2,1.198387146E-2,1.917419396E-2
1.223686137E1,-1.611164957E-2,2.529928461E-2,2.609820850E-2
1.227738569E1,-7.856093347E-3,9.587096982E-3,2.796236612E-2
1.231787475E1,2.263620263E-3,-1.225017942E-2,1.571218669E-2
1.235827314E1,1.464695437E-3,-2.210358530E-2,-1.331541222E-3
1.239879803E1,1.331541280E-4,-2.130465955E-2,-1.278279629E-2
1.243928709E1,9.320789250E-4,-6.391398143E-3,-1.198387146E-2
1.247977584E1,4.127778113E-3,8.255556226E-3,-4.260932095E-3
