"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.284931359E0,-7.354102731E-1,9.081111848E-2,-1.182408690E0
7.325404901E0,-8.808145523E-1,1.874810159E-1,-1.250317216E0
7.365895422E0,-1.018762231E0,1.480673850E-1,-1.135005832E0
7.406374640E0,-8.443303108E-1,1.624480449E-2,-1.069760323E0
7.446870057E0,-4.631100595E-1,-7.850767374E-1,-1.154712558E0
7.487355317E0,-3.459344208E-1,-1.139000416E0,-8.591104150E-1
7.527848442E0,-2.886781394E-1,-2.800231278E-1,-7.448641658E-1
7.568334588E0,-4.854799509E-1,-8.655018359E-2,-8.647028804E-1
7.608806515E0,-5.539211631E-1,9.906667471E-2,-7.432663441E-1
7.649294067E0,-4.045222402E-1,-1.460700780E-1,-8.045172691E-1
7.689797661E0,-1.113168523E-1,4.870778024E-1,-5.492607951E-1
7.730302245E0,-7.123745978E-2,1.014634445E-1,-4.368786812E-1
7.770774797E0,-8.455286920E-2,-4.219654202E-1,-4.014596939E-1
7.811264745E0,1.424749196E-2,-3.966661394E-1,-3.729647100E-1
7.851774692E0,4.153077304E-1,-3.599156141E-1,-3.302222490E-2
7.892269953E0,7.464620471E-1,-1.011971384E-1,3.701684773E-1
7.932763026E0,7.832126021E-1,-2.280930281E-1,7.250242233E-1
7.973241151E0,9.011871219E-1,-6.778876781E-1,1.127282858E0
8.013715526E0,8.697627783E-1,-4.419385493E-1,1.509435177E0
8.054210942E0,7.027874589E-1,-6.651048660E-1,1.356840611E0
8.094704640E0,8.939968348E-1,-2.973331809E-1,1.367226601E0
8.135190526E0,1.208373666E0,-2.171743810E-1,1.379210472E0
8.175684901E0,1.130079031E0,3.443365693E-1,1.538995385E0
8.216191359E0,8.844097257E-1,4.026580751E-1,1.029680848E0
8.256677349E0,1.083341956E0,9.252880216E-1,1.615159631E0
8.297143286E0,1.386800289E0,-7.722939253E-1,1.592257023E0
8.337637922E0,1.179878712E0,-2.687716007E0,6.363435984E-1
8.378123026E0,3.889431953E-1,-5.322170258E-1,3.339505494E-1
8.418606672E0,-5.422036052E-1,1.090665460E0,-7.190322876E-2
8.459096411E0,-9.489894509E-1,1.586664557E0,-6.328815818E-1
8.499580578E0,-1.281342149E0,1.959096670E0,-1.110239148E0
8.540089432E0,-1.185737491E0,1.951906323E0,-1.297986388E0
8.580606151E0,-8.941299915E-1,1.118228316E0,-1.302247405E0
8.621052765E0,-5.850792527E-1,7.721607685E-1,-1.316627979E0
8.661531099E0,-5.991935730E-1,2.055899799E-1,-1.068961382E0
8.702025578E0,-6.274222732E-1,-3.034582436E-1,-1.204778552E0
8.742515213E0,-9.652342796E-1,-8.007889390E-1,-1.681070924E0
8.783037401E0,-1.028082967E0,-1.598515272E0,-9.754871130E-1
8.823515317E0,-1.089866519E0,-1.790523529E0,-7.344781756E-1
8.864000630E0,-7.138392925E-1,-7.288857102E-1,-6.509905457E-1
8.904484849E0,-4.540555775E-1,7.109099030E-1,-4.600475132E-1
8.945007557E0,-4.130440950E-1,6.368761659E-1,-5.801525116E-1
8.985476932E0,-3.608476818E-1,7.856093347E-2,-8.974588513E-1
9.025963859E0,-3.640433848E-1,3.142437339E-2,-7.435326576E-1
9.066440942E0,-2.860150635E-1,-1.881467849E-1,-4.789553881E-1
9.106919328E0,1.504641678E-2,-5.527228117E-1,-3.834838793E-2
9.147428911E0,3.250292242E-1,-4.725640118E-1,6.659038067E-1
9.187910890E0,8.173000216E-1,-1.244991124E-1,1.245523691E0
9.228384120E0,7.259563208E-1,6.178351492E-2,9.641690254E-1
9.268912609E0,9.054480791E-1,-1.617822647E-1,6.943987608E-1
9.309366672E0,1.031145573E0,-2.826862037E-1,9.244890809E-1
9.349914380E0,1.003982067E0,7.616416365E-2,1.093328595E0
9.390323026E0,1.084673524E0,5.825493336E-1,1.452977896E0
9.430846984E0,1.256575465E0,2.050573528E-1,1.852307081E0
9.471372349E0,1.202248573E0,-1.047922969E0,1.656703711E0
9.511783130E0,1.372153282E0,3.994623944E-2,1.219958067E0
9.552337922E0,1.338065863E0,-9.459269047E-1,1.553376079E0
9.592781984E0,1.079347372E0,-2.548836231E0,6.765561104E-1
9.633311515E0,-2.037258074E-2,-3.210346103E-1,-2.219679356E-1
9.673735370E0,-9.532504082E-1,1.282540560E0,-4.501941204E-1
9.714280370E0,-1.327280402E0,2.353099823E0,-7.890713811E-1
9.754768442E0,-1.578675389E0,2.459356785E0,-1.182142377E0
9.795254640E0,-1.233672976E0,1.459369302E0,-1.455774069E0
9.835780005E0,-7.790848017E-1,3.960003853E-1,-1.723413825E0
9.876226672E0,-7.854762077E-1,2.481992990E-1,-1.895182729E0
9.916708338E0,-4.260932207E-1,-3.961335421E-1,-1.973876834E0
9.957205213E0,-3.081186414E-1,-1.221289635E0,-1.709565878E0
9.997682870E0,-7.916013002E-1,-8.215609789E-1,-1.220224380E0
1.003816667E1,-9.327446818E-1,-6.544525623E-1,-8.367405534E-1
1.007867547E1,-8.302159905E-1,2.964010835E-1,-4.099815488E-1
1.011919157E1,-5.358121991E-1,2.157096863E-1,1.177082509E-1
1.015966839E1,-3.893426657E-1,2.045247406E-1,3.909405172E-1
1.020015469E1,-4.378107786E-1,1.976007223E-1,9.240896255E-2
1.024062568E1,-9.187635034E-2,-2.107829899E-1,2.495308369E-1
1.028113240E1,2.957353294E-1,-2.680392563E-1,3.299559355E-1
1.032162178E1,1.957365684E-2,-3.748288751E-1,2.998631001E-1
1.036211964E1,4.220985994E-2,1.430075318E-1,6.629744172E-1
1.040261881E1,-2.404763550E-1,-1.308905035E-1,5.953320861E-1
1.044308797E1,-2.133129090E-1,-1.476679295E-1,3.624455333E-1
1.048358823E1,8.655018173E-3,-5.086487532E-2,2.987978756E-1
1.052405839E1,-1.142462417E-1,2.937380075E-1,5.884081125E-1
1.056453308E1,-7.070484012E-2,1.880136281E-1,4.609795809E-1
1.060502750E1,3.354152441E-1,-3.202356696E-1,3.411408663E-1
1.064549402E1,-5.312849581E-2,2.386122048E-1,2.372806519E-1
1.068599157E1,3.495295942E-1,2.993304729E-1,4.263595045E-1
1.072651115E1,3.926715255E-1,2.295577228E-1,3.121132851E-1
1.076701355E1,3.577851355E-1,3.840165138E-1,4.465989470E-1
1.080748995E1,3.157084286E-1,2.655093372E-1,3.826849759E-1
1.084798766E1,1.306242049E-1,-3.675054014E-2,4.977301359E-1
1.088846646E1,3.569862247E-1,9.476579428E-1,5.442008972E-1
1.092894053E1,6.228950024E-1,-7.962616533E-2,5.774894357E-1
1.096943995E1,4.025249183E-1,9.428643584E-1,4.210333526E-1
1.100994735E1,4.286231399E-1,8.175663650E-2,3.525921404E-1
1.105042907E1,3.894758224E-1,-1.810896210E-2,2.423405200E-1
1.109088428E1,2.182396203E-1,-2.741643488E-1,3.462007269E-2
1.113141037E1,2.507292330E-1,-2.616478503E-1,-5.698996782E-2
1.117193256E1,2.637783289E-1,-3.074528873E-1,-1.025286764E-1
1.121238183E1,2.640446424E-1,-1.615159512E-1,-2.822867595E-2
1.125286167E1,1.942718774E-1,-2.769605815E-2,7.989247679E-4
1.129335672E1,1.274285018E-1,1.557903290E-1,2.077204362E-2
1.133384959E1,1.809564531E-1,-5.139749497E-2,5.299534276E-2
1.137434433E1,1.415428370E-1,-6.684337556E-2,1.384802908E-2
1.141483714E1,1.631138027E-1,-4.853467941E-1,4.394086078E-2
1.145531980E1,-2.609820962E-1,-7.909355313E-2,-1.852173954E-1
1.149580485E1,-6.777545065E-2,-1.282274276E-1,6.764229387E-2
1.153628787E1,-5.872096866E-2,-2.272941023E-1,-1.745650619E-1
1.157677954E1,-9.533835202E-2,7.802832127E-2,-9.720251709E-2
1.161725417E1,-2.889444493E-2,-3.588503897E-1,2.050573565E-2
1.165770823E1,-9.161003679E-2,4.117125571E-1,3.541899845E-2
1.169825761E1,3.288906813E-2,1.651111245E-2,1.113168523E-1
1.173876360E1,1.559234858E-1,4.774906933E-1,1.283605844E-1
1.177924047E1,1.604507267E-1,-4.464657903E-1,9.320788831E-2
1.181971448E1,7.629731297E-2,7.165023685E-1,4.607132822E-2
1.186018693E1,4.046553969E-1,-1.865489334E-1,5.359453559E-1
1.190066829E1,2.661750913E-1,5.689675808E-1,4.942681193E-1
1.194123641E1,5.605788901E-2,-3.435376659E-2,2.418078929E-1
1.198166079E1,3.660407066E-1,-1.508636326E-1,5.351464152E-1
1.202217860E1,6.149057746E-1,1.701709777E-1,7.905360460E-1
1.206267844E1,1.514095545E0,-5.607120395E-1,1.214631915E0
1.210313526E1,8.106423020E-1,1.484934807E0,9.705604315E-1
1.214365912E1,7.414022088E-1,1.962691844E-1,5.197005868E-1
1.218412058E1,9.483237267E-1,-4.713656008E-2,8.334116936E-1
1.222459558E1,7.432663441E-1,-2.411421239E-1,8.786841035E-1
1.226512204E1,1.404909253E0,-1.351381302E0,8.906679749E-1
1.230557308E1,1.048189282E0,-8.868064731E-2,4.993279874E-1
1.234606126E1,1.249118924E0,-8.636376858E-1,1.335269570E0
1.238655006E1,1.038069606E0,-1.358571529E0,1.488663197E0
1.242703219E1,1.265363693E0,-1.679206729E0,9.516525269E-1
1.246753891E1,1.119293571E0,-9.904004335E-1,6.432675719E-1
1.250802969E1,8.497896194E-1,-2.374138087E-1,5.718969703E-1
1.254854475E1,3.386109471E-1,3.944025338E-1,4.266258180E-1
1.258901891E1,-3.139774203E-1,7.034532428E-1,-1.597849536E-3
1.262946943E1,-8.411346078E-1,1.374416947E0,-5.726959109E-1
1.266996907E1,-1.110105991E0,4.852136374E-1,-6.978607774E-1
1.271045865E1,-1.413297892E0,8.637708426E-1,-1.008509398E0
1.275094990E1,-1.573082924E0,8.435314298E-1,-1.034074903E0
1.279143943E1,-1.652709007E0,1.481206536E0,-1.160837650E0
1.283192896E1,-1.480940223E0,1.059241056E0,-1.330875516E0
1.287242672E1,-1.024354696E0,5.790873170E-1,-1.567357183E0
1.291292318E1,-6.481943130E-1,8.475260139E-1,-1.456306696E0
1.295340870E1,-4.753602445E-1,1.387466043E-1,-1.161902905E0
1.299389563E1,-5.619103909E-1,5.352795869E-2,-1.118228316E0
1.303436964E1,-4.503272474E-1,-2.467346042E-1,-4.328840673E-1
1.307487870E1,-2.987978756E-1,-3.213009238E-1,-1.043928340E-1
1.311540011E1,5.605788901E-2,-2.762948275E-1,3.467333615E-1
1.315586292E1,6.612433791E-1,-3.106485903E-1,7.892045379E-1
1.319637917E1,9.320788980E-1,-1.784265228E-2,8.509880304E-1
1.323685547E1,1.041531563E0,1.041265279E-1,8.155690432E-1
1.327733740E1,1.150052190E0,-1.460700780E-1,7.817478776E-1
1.331787428E1,9.653674364E-1,-3.524589837E-1,6.848116517E-1
1.335831615E1,8.753552437E-1,-3.231650591E-1,6.765561104E-1
1.339878027E1,7.414022088E-1,-3.386109471E-1,7.111762166E-1
1.343929344E1,7.339455485E-1,-3.418066502E-1,8.411346078E-1
1.347979073E1,6.002588272E-1,-5.236951709E-1,1.133674264E0
1.352027980E1,1.054048061E0,-1.309970260E0,1.438597202E0
1.356070678E1,9.765523672E-1,-1.136070967E0,1.192528367E0
1.360127464E1,8.223599195E-1,-2.187722325E-1,1.054447532E0
1.364173855E1,4.904066622E-1,1.991985738E-1,9.918650985E-1
1.368221558E1,9.720250964E-3,6.222292185E-1,5.828156471E-1
1.372270365E1,-3.970656097E-1,5.444672108E-1,6.391397864E-2
1.376317912E1,-5.448666811E-1,4.933360517E-1,-5.010589957E-1
1.380367141E1,-6.639064550E-1,7.487256527E-1,-8.444634676E-1
1.384416839E1,-7.479267120E-1,9.657669067E-1,-1.115298986E0
1.388465928E1,-8.155690432E-1,8.621729612E-1,-1.300649524E0
1.392514527E1,-8.355421424E-1,6.283543110E-1,-1.516492367E0
1.396563745E1,-8.267539740E-1,5.623098612E-1,-1.715158343E0
1.400611417E1,-8.840102553E-1,5.324833393E-1,-1.821148992E0
1.404660636E1,-9.143694043E-1,3.440702558E-1,-1.695984125E0
1.408710803E1,-8.808145523E-1,2.745638192E-1,-1.475480914E0
1.412761948E1,-7.441984415E-1,4.074516147E-2,-1.125951290E0
1.416812896E1,-5.621767044E-1,7.163692266E-2,-9.315462708E-1
1.420857198E1,-4.250279665E-1,2.303566486E-1,-8.460613489E-1
1.424908370E1,-2.527265251E-1,1.997311860E-1,-6.232944727E-1
1.428956016E1,4.660394508E-3,1.344856620E-1,-4.536561072E-1
1.433005105E1,2.531259954E-1,3.328853101E-2,-2.235657871E-1
1.437052797E1,3.082517982E-1,-9.347419441E-2,1.517957076E-2
1.441103204E1,2.299571782E-1,-9.187635034E-2,1.081211492E-1
1.445152047E1,1.354177445E-1,-1.394123733E-1,9.587097168E-2
1.449199959E1,2.010627277E-2,-8.548495173E-2,-3.728315700E-3
1.453248511E1,-9.267527610E-2,-3.122464418E-1,-1.652442664E-1
1.457298094E1,-3.179720640E-1,-2.810883522E-1,-2.259625494E-1
