"Time (s)","X (hPa)"
2.425680865E2,1.012133865E3
2.436434005E2,1.012133636E3
2.447186545E2,1.012132721E3
2.457939185E2,1.012129822E3
2.468691555E2,1.012129822E3
2.479443945E2,1.012124100E3
2.490196475E2,1.012123260E3
2.500949395E2,1.012123260E3
2.511702535E2,1.012132950E3
2.522455875E2,1.012135696E3
2.533209275E2,1.012142410E3
2.543962825E2,1.012149429E3
2.554716685E2,1.012149429E3
2.565470285E2,1.012148819E3
2.576223815E2,1.012148132E3
2.586976845E2,1.012148132E3
2.597729925E2,1.012147064E3
2.608483535E2,1.012147064E3
2.619237195E2,1.012147522E3
2.629991535E2,1.012148285E3
2.640745265E2,1.012155762E3
2.651498715E2,1.012157440E3
2.662251795E2,1.012155762E3
2.673005125E2,1.012151337E3
2.683758325E2,1.012149658E3
2.694511065E2,1.012151337E3
2.705263745E2,1.012152557E3
2.716016235E2,1.012154617E3
2.726768925E2,1.012165146E3
2.737521525E2,1.012165451E3
2.748273895E2,1.012169037E3
2.759026445E2,1.012170639E3
2.769778975E2,1.012172318E3
2.780531535E2,1.012174911E3
2.791283745E2,1.012172318E3
2.802035735E2,1.012165985E3
2.812787715E2,1.012165756E3
2.823539395E2,1.012156296E3
2.834290645E2,1.012151947E3
2.845042715E2,1.012147446E3
2.855794735E2,1.012143021E3
2.866546625E2,1.012132797E3
2.877299035E2,1.012128143E3
2.888051745E2,1.012127533E3
2.898804325E2,1.012127533E3
2.909556495E2,1.012128372E3
2.920309195E2,1.012130280E3
2.931062045E2,1.012130280E3
2.941815325E2,1.012120132E3
2.952568285E2,1.012118607E3
2.963321295E2,1.012105637E3
2.974074675E2,1.012090836E3
2.984827675E2,1.012079315E3
2.995580725E2,1.012067566E3
3.006333935E2,1.012059555E3
3.017086885E2,1.012059555E3
3.027839815E2,1.012061462E3
3.038592565E2,1.012071533E3
3.049345095E2,1.012080383E3
3.060097305E2,1.012092209E3
3.070849185E2,1.012100143E3
3.081601295E2,1.012108383E3
3.092353565E2,1.012113037E3
3.103106005E2,1.012114029E3
3.113858485E2,1.012115936E3
3.124610795E2,1.012118912E3
3.135363415E2,1.012119980E3
3.146115205E2,1.012120819E3
3.156867295E2,1.012120819E3
3.167619335E2,1.012119522E3
3.178371125E2,1.012115784E3
3.189123045E2,1.012113647E3
3.199874815E2,1.012112198E3
3.210626805E2,1.012108536E3
3.221378735E2,1.012108536E3
3.232131395E2,1.012108154E3
3.242883735E2,1.012106934E3
3.253636375E2,1.012101822E3
3.264388595E2,1.012101822E3
3.275140605E2,1.012099991E3
3.285892575E2,1.012097397E3
3.296644795E2,1.012092361E3
3.307397125E2,1.012092361E3
3.318149825E2,1.012093430E3
3.328902425E2,1.012094269E3
3.339654535E2,1.012097626E3
3.350406725E2,1.012101974E3
