"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.513417995E1,5.235921950E1,4.922670577E0,-1.393771552E0,3.554091051E0,7.255077396E1,5.790001694E0,1.592458651E0
9.613417256E1,5.235921200E1,4.922670506E0,-1.310102632E0,1.444015918E0,7.460262333E1,5.705864003E0,1.675912213E0
9.713416672E1,5.235931324E1,4.922700063E0,-1.486158621E0,3.499734519E0,3.559709075E1,5.504888966E0,1.885867699E0
9.813416183E1,5.235933674E1,4.922740345E0,-1.387907119E0,1.861118607E0,4.745898552E1,5.434669710E0,2.070966485E0
9.913415551E1,5.235933322E1,4.922780075E0,-1.769888094E0,1.515805341E0,5.964949354E1,5.368112906E0,2.237833965E0
1.001341511E2,5.235932427E1,4.922835173E0,-1.731599964E0,2.186117682E0,7.627644174E1,5.317851686E0,2.354780346E0
1.011341497E2,5.235933653E1,4.922931502E0,-1.028595916E0,3.465383166E0,8.139054153E1,5.299050574E0,2.396789529E0
1.021341419E2,5.235938537E1,4.922916683E0,-1.042174770E0,1.554866803E0,8.178250539E1,5.244287697E0,2.514355501E0
1.031341380E2,5.235941159E1,4.922920461E0,3.412402673E-1,9.041400605E-1,7.668472224E1,5.188964046E0,2.626630762E0
1.041341351E2,5.235941079E1,4.922930863E0,1.891613221E-1,8.200616080E-1,8.234976189E1,5.184820390E0,2.634800667E0
1.051341319E2,5.235943940E1,4.922933878E0,3.459276836E-1,6.472091851E-1,8.423273156E1,5.160950706E0,2.681254342E0
1.061341294E2,5.235944009E1,4.922935171E0,2.279810952E-1,2.254914910E-1,8.368966355E1,5.152451338E0,2.697551156E0
1.071341268E2,5.235945499E1,4.922934586E0,2.360465871E-1,4.267182565E-2,8.368966448E1,5.134406464E0,2.731740707E0
1.081341237E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,5.108520509E0,2.779848061E0
1.091341220E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,5.060942828E0,2.865553128E0
1.101341202E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,5.004947722E0,2.962268613E0
1.111341189E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,4.971835159E0,3.017514239E0
1.121341171E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,4.958605026E0,3.039206019E0
1.131341162E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,4.965909418E0,3.027256296E0
1.141341149E2,5.235945442E1,4.922933618E0,2.327046515E-1,0.000000000E0,8.368966367E1,4.963998990E0,3.030387938E0
1.151341143E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.954787758E0,3.045425307E0
1.161341138E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.950269654E0,3.052763893E0
1.171341130E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.949077369E0,3.054696421E0
1.181341116E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.944342185E0,3.062354877E0
1.191341118E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.940353939E0,3.068784774E0
1.201341113E2,5.235957282E1,4.923029255E0,5.839384161E-2,0.000000000E0,8.368974987E1,4.934956110E0,3.077457592E0
1.211341109E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.933561711E0,3.079692497E0
1.221341114E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.926809657E0,3.090482752E0
1.231341118E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.926643494E0,3.090747630E0
1.241341112E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.919050782E0,3.102817499E0
1.251341116E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.918712490E0,3.103353746E0
1.261341118E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.918385532E0,3.103871902E0
1.271341132E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.921345388E0,3.099176763E0
1.281341134E2,5.235964232E1,4.923142372E0,-1.850587390E-1,0.000000000E0,8.368984523E1,4.915821530E0,3.107931099E0
1.291341140E2,5.235968647E1,4.923312929E0,-2.792331409E-1,2.865960195E-1,8.368998334E1,4.908067875E0,3.120161337E0
1.301341143E2,5.235968585E1,4.923312499E0,-3.280531447E-1,0.000000000E0,8.368998295E1,4.900774615E0,3.131604254E0
1.311341147E2,5.235968585E1,4.923312499E0,-3.280531447E-1,0.000000000E0,8.368998295E1,4.894709216E0,3.141076045E0
1.321341162E2,5.235968585E1,4.923312499E0,-3.280531447E-1,0.000000000E0,8.368998295E1,4.887796365E0,3.151822286E0
1.331341168E2,5.235969554E1,4.923417032E0,-4.002880342E-1,1.003510759E-1,8.369006597E1,4.883876320E0,3.157893147E0
1.341341177E2,5.235970347E1,4.923444505E0,-2.042943668E-1,8.335633961E-1,7.059381728E1,4.883815852E0,3.157986663E0
1.351341186E2,5.235970952E1,4.923484417E0,-2.892770879E-1,1.221979266E0,7.377603341E1,5.040682373E0,3.102915217E0
1.361341189E2,5.235971237E1,4.923545097E0,-3.779937029E-1,1.433994264E0,8.403009966E1,5.158189770E0,3.114639108E0
1.371341203E2,5.235972176E1,4.923629555E0,-7.879467653E-1,2.045601343E0,8.510069881E1,5.064925539E0,3.159418181E0
1.381341205E2,5.235973205E1,4.923713525E0,-4.730230076E-1,2.662850654E0,8.007247053E1,5.001722708E0,3.166718299E0
1.391341218E2,5.235974832E1,4.923802275E0,-1.014560915E0,3.086825873E0,7.478176240E1,5.078753231E0,3.154393252E0
1.401341233E2,5.235975838E1,4.923890550E0,-7.456808621E-1,3.171636309E0,7.562189285E1,5.229537322E0,3.106672356E0
1.411341245E2,5.235976935E1,4.923959958E0,-3.785262061E-1,3.438981571E0,7.375711339E1,5.236024741E0,3.139304028E0
1.421341296E2,5.235978923E1,4.924026147E0,-1.446711651E0,3.573165895E0,6.688897405E1,5.358417036E0,3.117234581E0
1.431341273E2,5.235981609E1,4.924104531E0,-5.629315637E-1,3.683301070E0,6.168487424E1,5.459643137E0,3.041125523E0
1.441341282E2,5.235983755E1,4.924249843E0,-1.257396356E0,3.902157809E0,6.163568688E1,5.489567009E0,2.971651756E0
1.451341285E2,5.235985302E1,4.924384539E0,-1.696366343E0,4.100279483E0,6.364087392E1,5.629514824E0,2.806186945E0
1.461341308E2,5.235986839E1,4.924524655E0,-6.247083284E-1,4.492612643E0,6.717102008E1,5.931259851E0,2.397115305E0
1.471341318E2,5.235989106E1,4.924618478E0,-1.286441870E-1,4.696822432E0,6.593010340E1,6.255671239E0,1.860925151E0
1.481341335E2,5.235991778E1,4.924718132E0,8.057488808E-1,4.881214115E0,6.367448186E1,6.456346219E0,1.734624091E0
1.491341341E2,5.235991548E1,4.924853030E0,-1.709057214E-1,4.676747739E0,6.603711114E1,6.859972484E0,1.213118203E0
1.501341360E2,5.235993062E1,4.925039799E0,-2.035030221E0,5.269231878E0,6.555934272E1,7.297028668E0,1.205652517E0
1.511341366E2,5.235991784E1,4.925187486E0,-4.969775733E-1,5.461566681E0,7.218356366E1,7.995076903E0,1.267160529E0
1.521341385E2,5.235992462E1,4.925362311E0,-2.320085702E0,5.748383663E0,7.259810459E1,8.655271203E0,1.304239383E0
1.531341443E2,5.235995487E1,4.925601102E0,1.004221832E0,6.750807760E0,7.198868359E1,8.751133912E0,1.242331745E0
1.541341407E2,5.236006010E1,4.925742062E0,-3.149193944E-1,6.274627305E0,5.822291395E1,7.704819182E0,1.211129727E0
1.551341423E2,5.236005848E1,4.925963194E0,-1.046576225E0,5.944769890E0,6.512023739E1,7.548602796E0,1.194687894E0
1.561341443E2,5.236013784E1,4.926162496E0,8.690381050E-1,6.651774549E0,6.115113626E1,7.483460231E0,1.182589701E0
1.571341455E2,5.236016899E1,4.926331856E0,7.082293797E-1,6.663741836E0,6.318476071E1,7.274668811E0,1.175340259E0
1.581341463E2,5.236019542E1,4.926495704E0,9.354955386E-1,6.867752155E0,6.593732702E1,7.235951974E0,1.168400122E0
1.591341482E2,5.236024196E1,4.926613257E0,-4.296388254E-1,6.786175501E0,6.573994044E1,7.060549271E0,1.160570216E0
1.601341493E2,5.236026082E1,4.926726075E0,-7.652705247E-1,6.428699201E0,6.648275060E1,7.277772657E0,1.158335116E0
1.611341503E2,5.236030289E1,4.926844050E0,4.267564276E-1,6.807465083E0,6.486867291E1,7.594879210E0,1.154183733E0
1.621341525E2,5.236032567E1,4.926960309E0,8.348346949E-1,6.687753307E0,6.520185102E1,7.591680531E0,1.150534164E0
1.631341538E2,5.236035298E1,4.927088973E0,1.096861360E0,6.901502313E0,6.515175766E1,7.968594313E0,1.148042684E0
1.641341550E2,5.236037247E1,4.927213182E0,8.384132180E-1,6.898461334E0,6.647319233E1,8.296511874E0,1.145110770E0
1.651341563E2,5.236038682E1,4.927353933E0,1.067702819E0,7.093237731E0,6.901087933E1,7.904927844E0,1.141606428E0
1.661341575E2,5.236043230E1,4.927452853E0,8.479015399E-1,6.888655298E0,6.563536957E1,8.116992077E0,1.138176522E0
1.671341594E2,5.236047266E1,4.927563604E0,1.654327655E0,7.019641520E0,6.421619596E1,7.983106773E0,1.135198536E0
1.681341614E2,5.236050860E1,4.927646728E0,1.656994129E0,6.836905787E0,6.180037188E1,8.128703245E0,1.132686935E0
1.691341623E2,5.236054904E1,4.927752064E0,1.913400269E0,6.973024690E0,6.148892542E1,8.032015036E0,1.130846850E0
1.701341642E2,5.236057337E1,4.927867577E0,1.339662263E0,6.868694809E0,6.320586653E1,7.986937816E0,1.128165817E0
1.711341652E2,5.236060501E1,4.927953099E0,2.294885416E0,6.817823408E0,5.955298331E1,7.114269443E0,1.125827842E0
1.721341670E2,5.236062464E1,4.928061091E0,2.703697299E0,6.602582775E0,6.150603949E1,6.671638038E0,1.219814626E0
1.731341683E2,5.236064399E1,4.928152969E0,1.870809734E0,6.371019089E0,6.307684243E1,6.392624650E0,1.206040517E0
1.741341696E2,5.236067412E1,4.928249402E0,3.401297452E0,6.477455434E0,6.152105179E1,6.096884667E0,1.199277960E0
1.751341721E2,5.236068632E1,4.928337046E0,2.091508325E0,6.179891686E0,6.623839661E1,5.828425182E0,1.388418079E0
1.761341732E2,5.236069744E1,4.928429776E0,1.345974776E0,6.030911563E0,6.887024658E1,5.754125285E0,1.457314931E0
1.771341742E2,5.236072757E1,4.928515395E0,2.646407306E0,6.220051072E0,6.720953209E1,5.595336537E0,1.636636667E0
1.781341763E2,5.236073965E1,4.928599116E0,1.886037849E0,6.009067652E0,6.916144876E1,5.540209095E0,1.769355878E0
1.791341776E2,5.236077083E1,4.928670252E0,2.131212082E0,5.729669961E0,6.731779793E1,5.380949837E0,2.206788592E0
1.801341788E2,5.236079437E1,4.928755786E0,3.263000612E0,5.945852566E0,6.834164449E1,5.144286832E0,2.713088650E0
1.811341802E2,5.236081897E1,4.928825118E0,2.999874821E0,5.559996122E0,6.448390885E1,5.004398295E0,2.963196710E0
1.821345569E2,5.236083518E1,4.928907128E0,2.769090239E0,5.435818029E0,6.590196508E1,4.948127867E0,3.056234226E0
1.831345572E2,5.236083591E1,4.928857834E0,3.276134037E0,1.300647699E0,5.611789939E1,4.953361667E0,3.047744286E0
1.841345468E2,5.236081855E1,4.928952086E0,2.803803960E0,2.413571842E0,8.908947966E1,5.020391657E0,2.936018502E0
1.851345401E2,5.236082337E1,4.928977918E0,1.704555921E0,1.260874665E0,8.676005668E1,5.122951260E0,2.753163166E0
1.861345276E2,5.236085050E1,4.929063563E0,2.809931419E0,2.976417934E0,7.031855920E1,5.230519034E0,2.542873900E0
1.871345080E2,5.236083505E1,4.929090442E0,2.412634532E0,1.382704143E0,8.771730169E1,5.234746603E0,2.534159630E0
1.881344929E2,5.236082025E1,4.929189266E0,9.817108596E-1,3.187646242E0,9.246690708E1,5.335540613E0,2.314420747E0
1.891344786E2,5.236084111E1,4.929204604E0,1.719198307E0,1.593751517E0,7.517565215E1,5.368439194E0,2.237051107E0
1.901344591E2,5.236086852E1,4.929300378E0,1.615080195E0,3.169714953E0,6.772976453E1,5.479957317E0,1.947974546E0
1.911344430E2,5.236086735E1,4.929317253E0,-1.148947062E0,1.237249270E0,7.071995347E1,5.612434298E0,1.760276169E0
1.921344299E2,5.236087572E1,4.929403662E0,-2.591553984E0,2.644226104E0,7.702853144E1,5.735062680E0,1.647589286E0
1.931344060E2,5.236089876E1,4.929453808E0,2.865570532E-1,1.969546291E0,6.891612537E1,5.641308410E0,1.599895034E0
1.941343880E2,5.236090390E1,4.929483476E0,-2.082522609E0,1.444809866E0,8.399411786E1,5.598899570E0,1.721314649E0
1.951343678E2,5.236092099E1,4.929525975E0,-1.963039465E0,1.059120040E0,7.694429341E1,5.659694152E0,1.687817186E0
1.961343472E2,5.236093424E1,4.929587606E0,-8.003370892E-1,2.044764318E0,8.148810994E1,5.505953377E0,1.873236355E0
1.971343355E2,5.236096977E1,4.929630627E0,-7.502457527E-1,1.181919827E0,7.188705773E1,5.358357084E0,2.261094071E0
1.981343167E2,5.236102064E1,4.929664553E0,-2.954520043E-1,2.483137053E0,4.549826080E1,5.234824882E0,2.533997925E0
1.991343023E2,5.236105547E1,4.929750390E0,5.297964532E-2,3.595971907E0,6.221483305E1,5.154282468E0,2.694050719E0
2.001342891E2,5.236106756E1,4.929887247E0,1.758421986E0,5.357023345E0,7.794632824E1,5.085554877E0,2.821642895E0
2.011342763E2,5.236110175E1,4.929834921E0,6.412785314E-1,1.300892246E0,5.758415399E1,5.013564926E0,2.947660728E0
2.021342646E2,5.236114847E1,4.929890318E0,1.832671855E0,2.451236154E0,4.353213437E1,4.971426035E0,3.018188233E0
2.031342543E2,5.236115212E1,4.929890828E0,1.201259837E0,1.144774176E0,2.451041414E1,4.990062876E0,2.987274598E0
2.041342480E2,5.236115358E1,4.929900246E0,3.750891943E0,6.427240856E-1,3.415457462E1,5.058222760E0,2.870351816E0
2.051342340E2,5.236114735E1,4.929898644E0,4.422272285E0,8.816342699E-1,NaN,5.350467570E0,2.654728857E0
2.061342239E2,5.236114685E1,4.929897022E0,2.862793625E0,1.785816215E-1,NaN,5.791680137E0,2.525247486E0
2.071342154E2,5.236116032E1,4.929949564E0,3.519770808E0,8.844057855E-1,8.095576565E1,6.434340617E0,2.481176892E0
2.081342069E2,5.236115677E1,4.930074827E0,1.467115649E0,2.270406017E0,8.540256880E1,5.798843579E0,2.669844474E0
2.091341988E2,5.236116571E1,4.930090005E0,3.367639012E0,1.208288718E0,6.696124714E1,5.411840436E0,2.629913580E0
