Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Datetime
223.1270913,-1.562812686,-2.120759964,2.55813241,2024-06-11 14:46:07.127091
223.1676041,1.070376039,-0.4917535782,-1.653686285,2024-06-11 14:46:07.167604
223.2080835,6.388949394,-4.050618172,-3.051035404,2024-06-11 14:46:07.208083
223.2485414,0.7670977116,-4.043541908,-4.812696934,2024-06-11 14:46:07.248541
223.2889955,-0.05982613564,1.710068226,-4.310142994,2024-06-11 14:46:07.288995
223.3295029,-2.96034193,2.041931152,-5.399933815,2024-06-11 14:46:07.329503
223.369921,-4.109336853,0.8118462563,-5.55038166,2024-06-11 14:46:07.369921
223.4104072,-2.961306572,2.443331718,-3.281603336,2024-06-11 14:46:07.410407
223.4509015,0.4463233948,4.78050518,-3.414627075,2024-06-11 14:46:07.450901
223.4913985,2.777665138,0.02191925049,6.358145237,2024-06-11 14:46:07.491399
223.5318826,3.681902409,-1.339523792,3.912129402,2024-06-11 14:46:07.531883
223.5723709,0.3161854744,1.807358265,2.788575172,2024-06-11 14:46:07.572371
223.6128554,-2.279080629,0.2150063515,-2.402564526,2024-06-11 14:46:07.612855
223.6532665,-3.107821226,0.1475968361,-3.531799555,2024-06-11 14:46:07.653267
223.6937796,-3.0746696,2.582034588,-1.114420414,2024-06-11 14:46:07.693780
223.7342784,1.232661724,3.711932182,-0.56752491,2024-06-11 14:46:07.734278
223.7747571,-1.134409904,3.670532703,1.389162064,2024-06-11 14:46:07.774757
223.8152419,23.3834877,-12.59719849,10.62805367,2024-06-11 14:46:07.815242
223.855715,5.173516273,-15.9310236,-19.60493088,2024-06-11 14:46:07.855715
223.8961927,-11.06252861,-3.644529343,-5.080401421,2024-06-11 14:46:07.896193
223.9366612,-0.05204820633,-11.50976276,-1.730868816,2024-06-11 14:46:07.936661
223.9771555,-2.021808147,0.2853956223,1.690486908,2024-06-11 14:46:07.977156
224.0176833,-1.46612215,-0.5242378712,1.705461025,2024-06-11 14:46:08.017683
224.0581811,-1.826984882,-1.064737082,1.128023624,2024-06-11 14:46:08.058181
224.0985963,-1.62685442,-0.376704216,-1.207984924,2024-06-11 14:46:08.098596
224.1390441,-3.701886177,0.4790232182,0.5123662949,2024-06-11 14:46:08.139044
224.1795226,1.611428261,-1.47941494,-1.443562031,2024-06-11 14:46:08.179523
224.2200015,-1.56173563,-1.998066187,-0.6268291473,2024-06-11 14:46:08.220001
224.2605339,1.55019331,-3.084497929,0.7127947807,2024-06-11 14:46:08.260534
224.3009897,1.247255802,-0.8375942707,-1.820495605,2024-06-11 14:46:08.300990
224.3415043,0.6704096794,-2.935266256,-0.5689678192,2024-06-11 14:46:08.341504
224.3819765,0.6763715744,-2.444944382,-0.1637182236,2024-06-11 14:46:08.381977
224.422456,0.480691433,-2.096319199,-0.3557195663,2024-06-11 14:46:08.422456
224.4629359,-0.01726150513,-0.7291197777,-1.505235195,2024-06-11 14:46:08.462936
224.5033974,-1.048669338,0.8128261566,-0.7300019264,2024-06-11 14:46:08.503397
224.5438827,-0.7462201118,-0.5883698463,-0.5173816681,2024-06-11 14:46:08.543883
224.5844282,0.3688516617,0.4451079369,-0.4069981575,2024-06-11 14:46:08.584428
224.6248499,-0.3484487534,1.037690163,0.2435040474,2024-06-11 14:46:08.624850
224.6653294,0.4491047859,-0.1222419739,-0.117143631,2024-06-11 14:46:08.665329
224.7057814,0.3789434433,-0.621931076,-0.2220430374,2024-06-11 14:46:08.705781
