"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.567152973E2,5.235554444E1,4.920090590E0,6.430925001E0,4.280000210E0,5.129999924E1,1.126726246E1,5.308850765E0
1.577163285E2,5.235556736E1,4.920150150E0,8.147056286E0,4.489999771E0,6.740000153E1,1.108690071E1,5.350837708E0
1.587170961E2,5.235559744E1,4.920202630E0,9.176181922E0,4.889999866E0,5.479999924E1,1.074128246E1,5.079741478E0
1.597162188E2,5.235560324E1,4.920280150E0,1.023891794E1,4.340000153E0,7.090000153E1,1.032763577E1,4.673935413E0
1.607135092E2,5.235562232E1,4.920322870E0,9.732744039E0,3.839999914E0,5.759999847E1,1.020108891E1,4.340627193E0
1.617134733E2,5.235564136E1,4.920367200E0,8.582405966E0,3.849999905E0,5.890000153E1,1.043768024E1,4.181083679E0
1.627182345E2,5.235566055E1,4.920422400E0,9.775030917E0,4.860000134E0,5.879999924E1,1.066293240E1,4.073191166E0
1.637162399E2,5.235568238E1,4.920483470E0,9.398632233E0,4.750000000E0,5.959999847E1,1.068127155E1,4.058815956E0
1.647167770E2,5.235570224E1,4.920548090E0,9.589798722E0,4.840000153E0,6.129999924E1,1.069870758E1,4.013516426E0
1.657180236E2,5.235572260E1,4.920612150E0,8.926290304E0,4.849999905E0,6.159999847E1,1.066603088E1,3.975332260E0
1.667154768E2,5.235574606E1,4.920676370E0,8.311187254E0,5.030000210E0,6.100000000E1,1.078529358E1,3.920370340E0
1.677156297E2,5.235576924E1,4.920741220E0,8.413979678E0,4.820000172E0,5.929999924E1,1.065544987E1,3.893479109E0
1.687138073E2,5.235579117E1,4.920807450E0,9.265001106E0,4.940000057E0,5.950000000E1,1.050307178E1,3.837490082E0
1.697151462E2,5.235581202E1,4.920874980E0,1.078283084E1,4.960000038E0,6.070000076E1,1.048586559E1,3.959436178E0
1.707134450E2,5.235583341E1,4.920941600E0,1.041296549E1,4.969999790E0,6.209999847E1,1.025865841E1,3.880512714E0
1.717163377E2,5.235585307E1,4.921006340E0,1.015900238E1,4.679999828E0,6.190000153E1,1.021381092E1,3.988176107E0
1.727197522E2,5.235587416E1,4.921068630E0,9.599009603E0,4.699999809E0,5.970000076E1,1.046500206E1,4.281622410E0
1.737195637E2,5.235589586E1,4.921130890E0,9.910294533E0,4.750000000E0,5.820000076E1,1.046883106E1,4.227982044E0
1.747168256E2,5.235591874E1,4.921194330E0,1.051235330E1,4.719999790E0,5.800000000E1,1.055325413E1,4.390799046E0
1.757193822E2,5.235594004E1,4.921261490E0,1.042508092E1,4.880000114E0,5.990000153E1,1.037609673E1,4.146841049E0
1.767190419E2,5.235595913E1,4.921329400E0,1.086215886E1,4.750000000E0,6.100000000E1,1.037964058E1,4.305290699E0
1.777170200E2,5.235597463E1,4.921396560E0,1.046707797E1,4.570000172E0,6.279999924E1,1.045097256E1,4.266952515E0
1.787200690E2,5.235599313E1,4.921465100E0,9.781230635E0,4.980000019E0,6.190000153E1,1.033924103E1,4.167325974E0
1.797156907E2,5.235601407E1,4.921530640E0,9.120104272E0,4.639999866E0,6.050000000E1,1.048095417E1,4.129088879E0
1.807136714E2,5.235603452E1,4.921595080E0,9.470939471E0,4.949999809E0,5.929999924E1,1.040910149E1,4.053594589E0
1.817149313E2,5.235605503E1,4.921659500E0,8.881222986E0,4.829999924E0,6.079999924E1,1.060557365E1,4.277873993E0
1.827158388E2,5.235607139E1,4.921727840E0,1.044024555E1,4.969999790E0,6.370000076E1,1.021781731E1,3.970268011E0
1.837162936E2,5.235608871E1,4.921797430E0,1.001239276E1,4.900000095E0,6.390000153E1,1.022498989E1,4.130692005E0
1.847169010E2,5.235610527E1,4.921859210E0,9.645691616E0,4.170000076E0,6.250000000E1,1.046867371E1,4.183805466E0
1.857196614E2,5.235612978E1,4.921918490E0,9.249764462E0,4.820000172E0,5.009999847E1,1.058722401E1,4.398301125E0
1.867138226E2,5.235615863E1,4.921980550E0,1.036696763E1,4.969999790E0,5.429999924E1,1.042204857E1,4.701078415E0
1.877149078E2,5.235618115E1,4.922048950E0,1.090878705E1,4.940000057E0,6.340000153E1,1.082706642E1,5.065868855E0
1.887163506E2,5.235620243E1,4.922119810E0,1.109501532E1,4.980000019E0,5.940000153E1,1.063538933E1,5.365964890E0
1.897164558E2,5.235622536E1,4.922186720E0,1.055223974E1,4.710000038E0,6.029999924E1,1.049167824E1,5.192062855E0
1.907177871E2,5.235624823E1,4.922250340E0,1.005096609E1,4.579999924E0,5.800000000E1,1.058267593E1,5.059097767E0
1.917185846E2,5.235627121E1,4.922323470E0,8.787307939E0,4.940000057E0,6.159999847E1,1.045817089E1,5.054544449E0
1.927187236E2,5.235629526E1,4.922396520E0,7.272552629E0,4.760000229E0,5.820000076E1,1.049800777E1,5.089419842E0
1.937155929E2,5.235629861E1,4.922414200E0,6.275131052E0,0.000000000E0,NaN,1.050226879E1,4.899961472E0
1.947195674E2,5.235629687E1,4.922412720E0,6.496929489E0,0.000000000E0,NaN,1.048228264E1,4.814485073E0
1.957148892E2,5.235629804E1,4.922433580E0,6.451288881E0,2.150000095E0,8.059999847E1,1.053093529E1,4.776432037E0
1.967145654E2,5.235629909E1,4.922449230E0,6.394475665E0,0.000000000E0,NaN,1.045118427E1,4.717580795E0
1.977172551E2,5.235629963E1,4.922450160E0,5.725165444E0,0.000000000E0,NaN,1.040956974E1,4.470530510E0
1.987181257E2,5.235630064E1,4.922481380E0,5.786647282E0,2.589999914E0,9.450000000E1,1.026847649E1,4.414685249E0
1.997192848E2,5.235629819E1,4.922528230E0,5.295337818E0,2.480000019E0,9.730000305E1,1.027164555E1,4.430278778E0
2.007133955E2,5.235628111E1,4.922579820E0,4.539667076E0,3.119999886E0,1.268000031E2,1.026262093E1,4.694479465E0
2.017167151E2,5.235625617E1,4.922634020E0,4.874929075E0,3.619999886E0,1.323999939E2,1.038557339E1,5.071136951E0
2.027200957E2,5.235622706E1,4.922670110E0,6.320404209E0,3.440000057E0,1.528000031E2,1.066935253E1,5.646399498E0
2.037138970E2,5.235620226E1,4.922703890E0,6.648879727E0,2.829999924E0,1.376000061E2,1.071953487E1,5.951220989E0
2.047205268E2,5.235617666E1,4.922737370E0,6.891843684E0,3.220000029E0,1.486000061E2,1.057069588E1,5.705262661E0
2.057165404E2,5.235614974E1,4.922774820E0,8.495464796E0,3.619999886E0,1.445000000E2,1.066291523E1,5.763455391E0
2.067119278E2,5.235611974E1,4.922815250E0,8.745384528E0,3.839999914E0,1.466999969E2,1.048894978E1,5.485771179E0
2.077156965E2,5.235608787E1,4.922851910E0,7.370299432E0,3.240000010E0,1.463000031E2,1.043591499E1,5.412679195E0
2.087185535E2,5.235605384E1,4.922888560E0,8.395723963E0,3.069999933E0,1.491000061E2,1.069552612E1,5.920354366E0
2.097193656E2,5.235602052E1,4.922919570E0,8.645145271E0,2.880000114E0,1.490000000E2,1.077095032E1,6.107457161E0
2.107184385E2,5.235598362E1,4.922952000E0,1.071347101E1,3.880000114E0,1.581000061E2,1.060250282E1,6.084943295E0
2.117200587E2,5.235594965E1,4.922975160E0,1.122369009E1,3.579999924E0,1.611999969E2,1.067438698E1,6.303929806E0
2.127192611E2,5.235591898E1,4.923006830E0,1.249582062E1,3.730000019E0,1.486000061E2,1.063927269E1,6.170636654E0
2.137168141E2,5.235588918E1,4.923040970E0,1.265723603E1,3.460000038E0,1.508999939E2,1.065081787E1,5.996884346E0
